granule_ID,orbitProp,pathNr,frameNr,date,startTime,measurement_date,measurement_id,measurement_cornerTriangle,measurement_depth,measurement_temperature,nr_of_measurements,polygon
S1A_IW_GRDH_1SDV_20220316T163127_20220316T163152_042349_050C83_C328,ASCENDING,102,213,2022-03-16,2022-03-16T16:31:27.000Z,2022-03-16,"[147, 148, 296, 297, 445, 446]","['AC-22A', 'AC-42A', 'AC-22B', 'AC-42B', 'AC-22C', 'AC-42C']","['195', '60', '190', '100', '240', '125']","[-2.0, nan, -2.0, nan, -2.0, nan]",6,"[[11.682292, 66.231438], [12.608379, 64.762672], [18.141594, 65.239021], [17.533054, 66.723877], [11.682292, 66.231438]]"
S1A_IW_GRDH_1SDV_20220314T052944_20220314T053009_042313_050B38_4F30,DESCENDING,66,369,2022-03-14,2022-03-14T05:29:44.000Z,2022-03-14,"[138, 139, 140, 141, 142, 287, 288, 289, 290, 291, 436, 437, 438, 439, 440]","['AC-21A', 'AC-24A', 'AC-25A', 'AC-26A', 'AC-29A', 'AC-21B', 'AC-24B', 'AC-25B', 'AC-26B', 'AC-29B', 'AC-21C', 'AC-24C', 'AC-25C', 'AC-26C', 'AC-29C']","['155', '130', '100', '135', '180', '145', '85', '145', '70', '130', '165', '195', '190', '70', '50']","[-1.0, -2.0, -2.0, -6.0, -8.4, -1.0, -2.0, -2.0, -6.0, -8.4, -1.0, -2.0, -2.0, -6.0, -8.4]",15,"[[18.198183, 65.859291], [19.165989, 67.327438], [13.047935, 67.832268], [12.429095, 66.346886], [18.198183, 65.859291]]"
S1A_IW_GRDH_1SDV_20220309T052156_20220309T052221_042240_0508CF_E9A2,DESCENDING,168,374,2022-03-09,2022-03-09T05:21:56.000Z,2022-03-09,"[131, 280, 429]","['AC-39A', 'AC-39B', 'AC-39C']","['70', '135', '40']","[-7.0, -7.0, -7.0]",3,"[[19.341476, 64.328835], [20.229801, 65.800125], [14.475887, 66.287392], [13.894494, 64.8013], [19.341476, 64.328835]]"
S1A_IW_GRDH_1SDV_20220304T163127_20220304T163152_042174_05068B_AA51,ASCENDING,102,213,2022-03-04,2022-03-04T16:31:27.000Z,2022-03-04,"[130, 279, 428]","['AC-31A', 'AC-31B', 'AC-31C']","['180', '110', '70']","[-11.5, -11.5, -11.5]",3,"[[11.680801, 66.231178], [12.606831, 64.762505], [18.140415, 65.238922], [17.53194, 66.723694], [11.680801, 66.231178]]"
S1A_IW_GRDH_1SDV_20210503T162312_20210503T162337_037726_0473C7_BCAA,ASCENDING,29,213,2021-05-03,2021-05-03T16:23:12.000Z,2021-05-03,"[107, 108, 256, 257, 405, 406]","['AC-32A', 'AC-27A', 'AC-32B', 'AC-27B', 'AC-32C', 'AC-27C']","['145', '160', '130', '75', '240+', '240']","[-8.0, -8.0, -8.0, -8.0, -8.0, -8.0]",6,"[[13.677479, 66.352348], [14.597651, 64.882545], [20.155251, 65.359955], [19.556454, 66.845581], [13.677479, 66.352348]]"
S1A_IW_GRDH_1SDV_20210417T053802_20210417T053827_037486_046B5D_1A6A,DESCENDING,139,371,2021-04-17,2021-04-17T05:38:02.000Z,2021-04-17,"[105, 106, 254, 255, 403, 404]","['AC-43A', 'AC-46A', 'AC-43B', 'AC-46B', 'AC-43C', 'AC-46C']","['170', '45', '95', '90', '100', '80']","[-8.0, -6.0, -8.0, -6.0, -8.0, -6.0]",6,"[[15.795874, 65.33107], [16.740944, 66.79966], [10.776885, 67.296143], [10.163994, 65.810989], [15.795874, 65.33107]]"
S1A_IW_GRDH_1SDV_20210412T052939_20210412T053004_037413_0468E0_103B,DESCENDING,66,369,2021-04-12,2021-04-12T05:29:39.000Z,2021-04-12,"[102, 103, 104, 124, 125, 126, 251, 252, 253, 273, 274, 275, 400, 401, 402, 422, 423, 424]","['AC-22A', 'AC-21A', 'AC-23A', 'AC-26A', 'AC-25A', 'AC-24A', 'AC-22B', 'AC-21B', 'AC-23B', 'AC-26B', 'AC-25B', 'AC-24B', 'AC-22C', 'AC-21C', 'AC-23C', 'AC-26C', 'AC-25C', 'AC-24C']","['140', '60', '100', '120', '115', '90', '185', '100', '145', '90', '145', '85', '140', '90', '45', '75', '150', '35']","[-5.0, -5.0, -5.0, -11.0, nan, -10.0, -5.0, -5.0, -5.0, -11.0, nan, -10.0, -5.0, -5.0, -5.0, -11.0, nan, -10.0]",18,"[[18.182022, 65.860832], [19.148928, 67.329094], [13.050303, 67.832016], [12.431291, 66.346588], [18.182022, 65.860832]]"
S1A_IW_GRDH_1SDV_20210328T162310_20210328T162335_037201_046194_2E24,ASCENDING,29,213,2021-03-28,2021-03-28T16:23:10.000Z,2021-03-28,"[122, 123, 271, 272, 420, 421]","['AC-29A', 'AC-28A', 'AC-29B', 'AC-28B', 'AC-29C', 'AC-28C']","['90', '110', '85', '40', '90', '30']","[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",6,"[[13.677514, 66.352112], [14.597516, 64.882294], [20.155293, 65.359665], [19.556677, 66.845314], [13.677514, 66.352112]]"
S1A_IW_GRDH_1SDV_20210326T052151_20210326T052216_037165_04604D_766E,DESCENDING,168,374,2021-03-26,2021-03-26T05:21:51.000Z,2021-03-26,"[118, 119, 120, 121, 267, 268, 269, 270, 416, 417, 418, 419]","['AC-35A', 'AC-36A', 'AC-34A', 'AC-30A', 'AC-35B', 'AC-36B', 'AC-34B', 'AC-30B', 'AC-35C', 'AC-36C', 'AC-34C', 'AC-30C']","['75', '110', '120', '100', '100', '80', '210', '180', '90', '125', '30', '50']","[-8.0, -8.0, -6.0, -6.0, -8.0, -8.0, -6.0, -6.0, -8.0, -8.0, -6.0, -6.0]",12,"[[19.324615, 64.330368], [20.211992, 65.801804], [14.476119, 66.287178], [13.894757, 64.80101], [19.324615, 64.330368]]"
S1B_IW_GRDH_1SDV_20210318T053711_20210318T053736_026065_031C24_CA5A,DESCENDING,139,369,2021-03-18,2021-03-18T05:37:11.000Z,2021-03-18,"[114, 115, 116, 117, 263, 264, 265, 266, 412, 413, 414, 415]","['AC-38A', 'AC-40A', 'AC-39A', 'AC-37A', 'AC-38B', 'AC-40B', 'AC-39B', 'AC-37B', 'AC-38C', 'AC-40C', 'AC-39C', 'AC-37C']","['60', '145', '60', '70', '100', '85', '100', '30', '85', '160', '80', '25']","[-10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0]",12,"[[16.145546, 65.823967], [17.134815, 67.289757], [10.987551, 67.798492], [10.347573, 66.314545], [16.145546, 65.823967]]"
S1A_IW_GRDH_1SDV_20210316T162310_20210316T162335_037026_045B8A_ADD8,ASCENDING,29,213,2021-03-16,2021-03-16T16:23:10.000Z,2021-03-16,"[112, 113, 261, 262, 410, 411]","['AC-42A', 'AC-31A', 'AC-42B', 'AC-31B', 'AC-42C', 'AC-31C']","['50', '140', '85', '80', '90', '150']","[-10.0, -5.0, -10.0, -5.0, -10.0, -5.0]",6,"[[13.675668, 66.351631], [14.595759, 64.881912], [20.153839, 65.359428], [19.555122, 66.844971], [13.675668, 66.351631]]"
S1B_IW_GRDH_1SDV_20210315T163023_20210315T163052_026028_031B07_6F43,ASCENDING,102,210,2021-03-15,2021-03-15T16:30:23.000Z,2021-03-15,"[111, 260, 409]","['AC-41A', 'AC-41B', 'AC-41C']","['90', '140', '100']","[-10.0, -10.0, -10.0]",3,"[[12.347529, 65.529434], [13.34402, 63.818462], [18.434786, 64.261642], [17.767227, 65.988121], [12.347529, 65.529434]]"
S1B_IW_GRDH_1SDV_20210310T162220_20210310T162249_025955_031898_0997,ASCENDING,29,212,2021-03-10,2021-03-10T16:22:20.000Z,2021-03-10,"[110, 258, 259, 408]","['AC-33A', 'AC-32B', 'AC-33B', 'AC-33C']","['50', '240+', '90', '75']","[-20.0, -15.0, -20.0, -20.0]",4,"[[14.044888, 66.137177], [15.061496, 64.426414], [20.257271, 64.874199], [19.585808, 66.600937], [14.044888, 66.137177]]"
S1A_IW_GRDH_1SDV_20200501T163117_20200501T163142_032374_03BF6D_B38B,ASCENDING,102,213,2020-05-01,2020-05-01T16:31:17.000Z,2020-05-01,"[98, 247, 396]","['AC-27A', 'AC-27B', 'AC-27C']","['240+', '240+', '240+']","[-5.0, -5.0, -5.0]",3,"[[11.679884, 66.231636], [12.60625, 64.762901], [18.139267, 65.239319], [17.530455, 66.724159], [11.679884, 66.231636]]"
S1A_IW_GRDH_1SDV_20200429T052934_20200429T052959_032338_03BE26_EAE8,DESCENDING,66,369,2020-04-29,2020-04-29T05:29:34.000Z,2020-04-29,"[93, 94, 95, 96, 97, 101, 242, 243, 244, 245, 246, 250, 391, 392, 393, 394, 395, 399]","['AC-34A', 'AC-30A', 'AC-29A', 'AC-25A', 'AC-24A', 'AC-26A', 'AC-34B', 'AC-30B', 'AC-29B', 'AC-25B', 'AC-24B', 'AC-26B', 'AC-34C', 'AC-30C', 'AC-29C', 'AC-25C', 'AC-24C', 'AC-26C']","['210', '130', '95', '180', '140', '150', '195', '90', '160', '50', '90', '85', '70', '90', '240+', '210', '150', '130']","[-5.0, -5.0, -5.0, -3.0, -2.0, -3.0, -5.0, -5.0, -5.0, -3.0, -2.0, -3.0, -5.0, -5.0, -5.0, -3.0, -2.0, -3.0]",18,"[[18.185661, 65.860596], [19.152618, 67.32885], [13.053653, 67.831947], [12.434608, 66.346527], [18.185661, 65.860596]]"
S1B_IW_GRDH_1SDV_20200428T053706_20200428T053731_021340_02881B_5A73,DESCENDING,139,369,2020-04-28,2020-04-28T05:37:06.000Z,2020-04-28,"[88, 89, 90, 91, 92, 237, 238, 239, 240, 241, 386, 387, 388, 389, 390]","['AC-23A', 'AC-22A', 'AC-21A', 'AC-31A', 'AC-32A', 'AC-23B', 'AC-22B', 'AC-21B', 'AC-31B', 'AC-32B', 'AC-23C', 'AC-22C', 'AC-21C', 'AC-31C', 'AC-32C']","['80', '190', '200', '150', '240+', '125', '240+', '195', '135', '240+', '95', '240+', '165', '90', '240+']","[-3.0, -1.0, -3.0, -10.0, -1.0, -3.0, -1.0, -3.0, -10.0, -1.0, -3.0, -1.0, -3.0, -10.0, -1.0]",15,"[[16.144642, 65.823837], [17.133865, 67.289642], [10.987101, 67.798355], [10.347141, 66.314392], [16.144642, 65.823837]]"
S1A_IW_GRDH_1SDV_20200421T161455_20200421T161520_032228_03BA56_03BA,ASCENDING,131,214,2020-04-21,2020-04-21T16:14:55.000Z,2020-04-21,"[85, 234, 383]","['AC-36A', 'AC-36B', 'AC-36C']","['125', '90', '130']","[-2.0, -2.0, -2.0]",3,"[[15.574681, 66.592743], [16.490137, 65.121651], [22.113531, 65.603233], [21.526733, 67.089867], [15.574681, 66.592743]]"
S1A_IW_GRDH_1SDV_20200405T052958_20200405T053023_031988_03B1D4_4C7E,DESCENDING,66,374,2020-04-05,2020-04-05T05:29:58.000Z,2020-04-05,"[82, 83, 231, 232, 380, 381]","['AC-37A', 'AC-38A', 'AC-37B', 'AC-38B', 'AC-37C', 'AC-38C']","['160', '160', '120', '130', '55', '150']","[-15.0, -10.0, -15.0, -10.0, -15.0, -10.0]",6,"[[17.299181, 64.388649], [18.181049, 65.860825], [12.432066, 66.346436], [11.857719, 64.859772], [17.299181, 64.388649]]"
S1A_IW_GRDH_1SDV_20200319T052145_20200319T052210_031740_03A919_11CF,DESCENDING,168,374,2020-03-19,2020-03-19T05:21:45.000Z,2020-03-19,"[80, 81, 229, 230, 378, 379]","['AC-40A', 'AC-41A', 'AC-40B', 'AC-41B', 'AC-40C', 'AC-41C']","['170', '125', '125', '210', '230+', '220']","[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",6,"[[19.326071, 64.330307], [20.213577, 65.801735], [14.477314, 66.287216], [13.895837, 64.801056], [19.326071, 64.330307]]"
S1A_IW_GRDH_1SDV_20200226T162304_20200226T162329_031426_039E30_04BA,ASCENDING,29,213,2020-02-26,2020-02-26T16:23:04.000Z,2020-02-26,"[78, 227, 376]","['AC-33A', 'AC-33B', 'AC-33C']","['170', '90', '70']","[-15.0, -15.0, -15.0]",3,"[[13.675079, 66.351631], [14.595225, 64.881836], [20.153492, 65.359383], [19.554745, 66.845016], [13.675079, 66.351631]]"
S1A_IW_GRDH_1SDV_20190408T162258_20190408T162323_026701_02FF59_0BFD,ASCENDING,29,213,2019-04-08,2019-04-08T16:22:58.000Z,2019-04-08,"[73, 74, 77, 222, 223, 226, 371, 372, 375]","['AC-22A', 'AC-21A', 'AC-23A', 'AC-22B', 'AC-21B', 'AC-23B', 'AC-22C', 'AC-21C', 'AC-23C']","['70', '85', '110', '160', '170', '185', '170', '130', '60']","[nan, -8.0, -10.0, nan, -8.0, -10.0, nan, -8.0, -10.0]",9,"[[13.676746, 66.352043], [14.596733, 64.882271], [20.154488, 65.359688], [19.555878, 66.845291], [13.676746, 66.352043]]"
S1B_IW_GRDH_1SDV_20190405T052853_20190405T052918_015667_01D62F_BFA4,DESCENDING,66,371,2019-04-05,2019-04-05T05:28:53.000Z,2019-04-05,"[53, 202, 351]","['AC-46A', 'AC-46B', 'AC-46C']","['65', '125', '10']","[-5.0, -5.0, -5.0]",3,"[[17.692724, 65.39373], [18.620602, 66.863953], [12.912103, 67.335899], [12.3029, 65.850296], [17.692724, 65.39373]]"
S1B_IW_GRDH_1SDV_20190326T163032_20190326T163057_015528_01D1AE_5E75,ASCENDING,102,214,2019-03-26,2019-03-26T16:30:32.000Z,2019-03-26,"[67, 68, 69, 70, 216, 217, 218, 219, 365, 366, 367, 368]","['AC-26A', 'AC-25A', 'AC-24A', 'AC-29A', 'AC-26B', 'AC-25B', 'AC-24B', 'AC-29B', 'AC-26C', 'AC-25C', 'AC-24C', 'AC-29C']","['110', '90', '80', '100', '75', '45', '30', '75', '30', '75', '55', '250']","[-10.0, -10.0, -8.0, -10.0, -10.0, -10.0, -8.0, -10.0, -10.0, -10.0, -8.0, -10.0]",12,"[[11.709476, 66.511139], [12.649772, 65.043274], [17.973358, 65.497086], [17.342356, 66.980957], [11.709476, 66.511139]]"
S1B_IW_GRDH_1SDV_20190316T161417_20190316T161446_015382_01CCD7_8A2A,ASCENDING,131,216,2019-03-16,2019-03-16T16:14:17.000Z,2019-03-16,"[71, 220, 369]","['AC-34A', 'AC-34B', 'AC-34C']","['165', '150', '30']","[-4.0, -4.0, -4.0]",3,"[[15.199113, 67.490318], [16.322121, 65.785042], [21.78108, 66.244759], [21.043602, 67.969299], [15.199113, 67.490318]]"
S1A_IW_GRDH_1SDV_20190315T162258_20190315T162323_026351_02F27B_A34B,ASCENDING,29,213,2019-03-15,2019-03-15T16:22:58.000Z,2019-03-15,"[65, 66, 214, 215, 363, 364]","['AC-35A', 'AC-36A', 'AC-35B', 'AC-36B', 'AC-35C', 'AC-36C']","['90', '130', '135', '65', '80', '90']","[-10.0, -10.0, -10.0, -10.0, -10.0, -10.0]",6,"[[13.673792, 66.351547], [14.593967, 64.88179], [20.15221, 65.359383], [19.553419, 66.844971], [13.673792, 66.351547]]"
S1A_IW_GRDH_1SDV_20190311T053749_20190311T053814_026286_02F014_21C9,DESCENDING,139,371,2019-03-11,2019-03-11T05:37:49.000Z,2019-03-11,"[54, 55, 56, 203, 204, 205, 352, 353, 354]","['AC-32A', 'AC-27A', 'AC-42A', 'AC-32B', 'AC-27B', 'AC-42B', 'AC-32C', 'AC-27C', 'AC-42C']","['65', '200', '30', '58', '30', '90', '250+', '210', '110']","[-15.0, -15.0, -10.0, -15.0, -15.0, -10.0, -15.0, -15.0, -10.0]",9,"[[15.79605, 65.331192], [16.741177, 66.799782], [10.776413, 67.296341], [10.163508, 65.811188], [15.79605, 65.331192]]"
S1B_IW_GRDH_1SDV_20190305T053659_20190305T053724_015215_01C76B_44AA,DESCENDING,139,369,2019-03-05,2019-03-05T05:36:59.000Z,2019-03-05,"[60, 61, 62, 63, 209, 210, 211, 212, 358, 359, 360, 361]","['AC-33A', 'AC-31A', 'AC-38A', 'AC-37A', 'AC-33B', 'AC-31B', 'AC-38B', 'AC-37B', 'AC-33C', 'AC-31C', 'AC-38C', 'AC-37C']","['65', '50', '35', '30', '10', '50', '80', '40', '40', '50', '45', '45']","[-10.0, -15.0, -20.0, -17.0, -10.0, -15.0, -20.0, -17.0, -10.0, -15.0, -20.0, -17.0]",12,"[[16.14241, 65.824104], [17.132059, 67.289978], [10.984486, 67.798645], [10.344148, 66.314606], [16.14241, 65.824104]]"
S1B_IW_GRDH_1SDV_20180402T161411_20180402T161440_010307_012C02_157E,ASCENDING,131,216,2018-04-02,2018-04-02T16:14:11.000Z,2018-04-02,"[47, 195, 196, 344, 345]","['AC-29A', 'AC-26B', 'AC-29B', 'AC-26C', 'AC-29C']","['145', '75', '90', '50', '85']","[-5.0, -5.0, -5.0, -5.0, -5.0]",5,"[[15.200792, 67.490662], [16.322567, 65.785446], [21.781239, 66.245071], [21.044947, 67.969513], [15.200792, 67.490662]]"
S1B_IW_GRDH_1SDV_20180331T163026_20180331T163051_010278_012B11_2AE7,ASCENDING,102,214,2018-03-31,2018-03-31T16:30:26.000Z,2018-03-31,"[27, 28, 176, 177, 325, 326]","['AC-46A', 'AC-43A', 'AC-46B', 'AC-43B', 'AC-46C', 'AC-43C']","['110', '100', '110', '40', '90', '80']","[-10.0, -10.0, -10.0, -10.0, -10.0, -10.0]",6,"[[11.712893, 66.51149], [12.652941, 65.04361], [17.97644, 65.497246], [17.345695, 66.981133], [11.712893, 66.51149]]"
S1A_IW_GRDH_1SDV_20180330T163915_20180330T163940_021247_0248AC_C9CB,ASCENDING,175,212,2018-03-30,2018-03-30T16:39:15.000Z,2018-03-30,"[29, 30, 178, 179, 327, 328]","['AC-23A', 'AC-21A', 'AC-23B', 'AC-21B', 'AC-23C', 'AC-21C']","['75', '85', '120', '80', '65', '25']","[-8.0, -5.0, -8.0, -5.0, -8.0, -5.0]",6,"[[9.696902, 66.112198], [10.608078, 64.642197], [16.115095, 65.117775], [15.518543, 66.60334], [9.696902, 66.112198]]"
S1A_IW_GRDH_1SDV_20180330T052132_20180330T052157_021240_024878_F905,DESCENDING,168,374,2018-03-30,2018-03-30T05:21:32.000Z,2018-03-30,[327],['AC-23C'],['65'],[-8.0],1,"[[19.323803, 64.330482], [20.211077, 65.801842], [14.475178, 66.28717], [13.893906, 64.801079], [19.323803, 64.330482]]"
S1A_IW_GRDH_1SDV_20180330T052107_20180330T052132_021240_024878_18B4,DESCENDING,168,369,2018-03-30,2018-03-30T05:21:07.000Z,2018-03-30,"[29, 30, 31, 44, 178, 179, 180, 193, 328, 329, 342]","['AC-23A', 'AC-21A', 'AC-22A', 'AC-24A', 'AC-23B', 'AC-21B', 'AC-22B', 'AC-24B', 'AC-21C', 'AC-22C', 'AC-24C']","['75', '85', '80', '90', '120', '80', '60', '90', '25', '65', '30']","[-8.0, -5.0, -5.0, -5.0, -8.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",11,"[[20.211132, 65.801933], [21.179571, 67.269859], [15.096281, 67.77253], [14.473454, 66.287369], [20.211132, 65.801933]]"
S1A_IW_GRDH_1SDV_20180328T053743_20180328T053808_021211_024795_0E6E,DESCENDING,139,371,2018-03-28,2018-03-28T05:37:43.000Z,2018-03-28,"[40, 41, 42, 43, 189, 190, 191, 192, 338, 339, 340, 341]","['AC-27A', 'AC-28A', 'AC-32A', 'AC-33A', 'AC-27B', 'AC-28B', 'AC-32B', 'AC-33B', 'AC-27C', 'AC-28C', 'AC-32C', 'AC-33C']","['240', '140', '155', '135', '60', '55', '250', '130', '220', '30', '190', '70']","[-8.0, -8.0, -5.0, -10.0, -8.0, -8.0, -5.0, -10.0, -8.0, -8.0, -5.0, -10.0]",12,"[[15.794526, 65.331299], [16.739496, 66.799904], [10.77512, 67.296333], [10.162356, 65.811172], [15.794526, 65.331299]]"
S1A_IW_GRDH_1SDV_20180323T052945_20180323T053010_021138_024546_5DD9,DESCENDING,66,374,2018-03-23,2018-03-23T05:29:45.000Z,2018-03-23,[50],['AC-35A'],['90'],[-10.0],1,"[[17.304064, 64.388443], [18.186281, 65.860603], [12.436985, 66.346413], [11.862286, 64.859756], [17.304064, 64.388443]]"
S1A_IW_GRDH_1SDV_20180323T052920_20180323T052945_021138_024546_2513,DESCENDING,66,369,2018-03-23,2018-03-23T05:29:20.000Z,2018-03-23,"[48, 49, 51, 197, 198, 199, 200, 346, 347, 348, 349]","['AC-30A', 'AC-34A', 'AC-36A', 'AC-30B', 'AC-34B', 'AC-35B', 'AC-36B', 'AC-30C', 'AC-34C', 'AC-35C', 'AC-36C']","['110', '130', '125', '165', '115', '120', '110', '70', '75', '110', '150']","[-10.0, -10.0, -15.0, -10.0, -10.0, -10.0, -15.0, -10.0, -10.0, -10.0, -15.0]",11,"[[18.186344, 65.860695], [19.153236, 67.328873], [13.054262, 67.831963], [12.435266, 66.346619], [18.186344, 65.860695]]"
S1A_IW_GRDH_1SDV_20180315T161442_20180315T161507_021028_0241CC_4837,ASCENDING,131,214,2018-03-15,2018-03-15T16:14:42.000Z,2018-03-15,"[36, 184, 185, 334]","['AC-38A', 'AC-39B', 'AC-38B', 'AC-38C']","['85', '120', '120', '130']","[-15.0, -15.0, -15.0, -15.0]",4,"[[15.57319, 66.592155], [16.488636, 65.12114], [22.112535, 65.602844], [21.525745, 67.089401], [15.57319, 66.592155]]"
S1A_IW_GRDH_1SDV_20170418T162246_20170418T162311_016201_01AC72_41F1,ASCENDING,29,213,2017-04-18,2017-04-18T16:22:46.000Z,2017-04-18,"[21, 25, 170, 174, 175, 319, 323, 324]","['AC-23A', 'AC-43A', 'AC-23B', 'AC-43B', 'AC-46B', 'AC-23C', 'AC-43C', 'AC-46C']","['90', '200', '70', '80', '45', '45', '95', '30']","[-10.0, -5.0, -10.0, -5.0, -5.0, -10.0, -5.0, -5.0]",8,"[[14.59457, 64.882423], [20.152113, 65.359917], [19.553349, 66.845505], [13.674448, 66.352188], [14.59457, 64.882423]]"
S1A_IW_GRDH_1SDV_20170416T052115_20170416T052140_016165_01AB5A_8B42,DESCENDING,168,372,2017-04-16,2017-04-16T05:21:15.000Z,2017-04-16,"[23, 24, 172, 173, 321, 322]","['AC-33A', 'AC-37A', 'AC-33B', 'AC-37B', 'AC-33C', 'AC-37C']","['45', '70', '15', '70', '40', '35']","[-8.0, -10.0, -8.0, -10.0, -8.0, -10.0]",6,"[[20.650667, 66.458717], [14.750009, 66.953094], [14.152924, 65.467323], [19.72983, 64.988724], [20.650667, 66.458717]]"
S1A_IW_GRDH_1SDV_20170414T053742_20170414T053807_016136_01AA6F_7A54,DESCENDING,139,372,2017-04-14,2017-04-14T05:37:42.000Z,2017-04-14,"[22, 171, 320]","['AC-28A', 'AC-28B', 'AC-28C']","['20', '50', '50']","[nan, nan, nan]",3,"[[16.513634, 66.477058], [10.627121, 66.969162], [10.029253, 65.483406], [15.592413, 65.007065], [16.513634, 66.477058]]"
S1B_IW_GRDH_1SDV_20170331T162219_20170331T162244_004955_008A99_04B7,ASCENDING,29,216,2017-03-31,2017-03-31T16:22:19.000Z,2017-03-31,"[17, 18, 166, 167, 315, 316]","['AC-25A', 'AC-24A', 'AC-25B', 'AC-24B', 'AC-25C', 'AC-24C']","['55', '50', '145', '60', '95', '60']","[-10.0, -8.0, -10.0, -8.0, -10.0, -8.0]",6,"[[14.249876, 65.813103], [19.732952, 66.274185], [19.074564, 67.757179], [13.261544, 67.278603], [14.249876, 65.813103]]"
S1B_IW_GRDH_1SDV_20170317T163839_20170317T163904_004751_0084C3_3BD0,ASCENDING,175,215,2017-03-17,2017-03-17T16:38:39.000Z,2017-03-17,"[20, 318]","['AC-21A', 'AC-21C']","['60', '95']","[-5.0, -5.0]",2,"[[10.331229, 65.418152], [15.746574, 65.877922], [15.126231, 67.362976], [9.390442, 66.887299], [10.331229, 65.418152]]"
S1A_IW_GRDH_1SDV_20170306T163105_20170306T163130_015574_01999E_E23D,ASCENDING,102,214,2017-03-06,2017-03-06T16:31:05.000Z,2017-03-06,"[11, 12, 13, 160, 161, 162, 309, 310, 311]","['AC-30A', 'AC-34A', 'AC-35A', 'AC-30B', 'AC-34B', 'AC-35B', 'AC-30C', 'AC-34C', 'AC-35C']","['82', '145', '30', '130', '125', '95', '35', '45', '75']","[-10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0]",9,"[[12.312883, 65.249443], [17.948483, 65.730881], [17.317472, 67.214844], [11.351311, 66.716118], [12.312883, 65.249443]]"
S1A_IW_GRDH_1SDV_20170306T051305_20170306T051330_015567_01996C_C652,DESCENDING,95,373,2017-03-06,2017-03-06T05:13:05.000Z,2017-03-06,"[13, 162, 311]","['AC-35A', 'AC-35B', 'AC-35C']","['30', '95', '75']","[-10.0, -10.0, -10.0]",3,"[[22.53565, 66.176903], [16.700443, 66.668419], [16.109438, 65.182556], [21.628422, 64.706421], [22.53565, 66.176903]]"
S1A_IW_GRDH_1SDV_20170304T052932_20170304T052957_015538_01988A_BE5D,DESCENDING,66,373,2017-03-04,2017-03-04T05:29:32.000Z,2017-03-04,"[5, 6, 7, 8, 154, 155, 156, 157, 303, 304, 305, 306]","['AC-39A', 'AC-40A', 'AC-41A', 'AC-33A', 'AC-39B', 'AC-40B', 'AC-41B', 'AC-33B', 'AC-39C', 'AC-40C', 'AC-41C', 'AC-33C']","['60', '82', '70', '35', '70', '75', '13', '30', '30', '155', '125', '40']","[-15.0, -9.0, -9.0, -7.0, -15.0, -9.0, -9.0, -7.0, -15.0, -9.0, -9.0, -7.0]",12,"[[18.401966, 66.194916], [12.580405, 66.684334], [11.99299, 65.19825], [17.498714, 64.724022], [18.401966, 66.194916]]"
S1B_IW_GRDH_1SDV_20170226T052839_20170226T052904_004467_007C67_EAFC,DESCENDING,66,371,2017-02-26,2017-02-26T05:28:39.000Z,2017-02-26,"[2, 3, 4, 151, 152, 153, 300, 301, 302]","['AC-38A', 'AC-37A', 'AC-31A', 'AC-38B', 'AC-37B', 'AC-31B', 'AC-38C', 'AC-37C', 'AC-31C']","['50', '45', '20', '75', '70', '60', '75', '20', '65']","[-10.0, -8.0, -8.0, -10.0, -8.0, -8.0, -10.0, -8.0, -8.0]",9,"[[18.623402, 66.863846], [12.914323, 67.335915], [12.305123, 65.85041], [17.69556, 65.393715], [18.623402, 66.863846]]"
S1B_IW_GRDH_1SDV_20170221T163839_20170221T163904_004401_007A7F_051D,ASCENDING,175,215,2017-02-21,2017-02-21T16:38:39.000Z,2017-02-21,[299],['AC-42C'],['110'],[-5.0],1,"[[10.33075, 65.418114], [15.746727, 65.877945], [15.126413, 67.362907], [9.389975, 66.887169], [10.33075, 65.418114]]"
