ID,ERA5_time,era5_l_rsn,era5_l_sde,era5_l_sd
0,2017-02-21T10,305.8631,1.2427381,0.38040668
1,2017-02-26T08,278.36523,1.0376356,0.2893287
2,2017-02-26T11,292.65826,1.2381974,0.3624481
3,2017-02-26T13,302.66248,1.4380311,0.4358809
4,2017-03-04T09,265.55362,1.2260318,0.32598242
5,2017-03-04T11,260.64297,1.1914196,0.31100124
6,2017-03-04T12,253.13524,1.13329,0.28707212
7,2017-03-04T14,274.89484,1.3447753,0.3706752
8,2017-03-05T10,288.0448,1.4360605,0.4144904
9,2017-03-05T12,293.48584,1.4930763,0.4388113
10,2017-03-06T10,264.4517,1.2348561,0.32689133
11,2017-03-06T11,264.4517,1.2348561,0.32689133
12,2017-03-06T12,251.7864,1.1362458,0.28652364
13,2017-03-17T14,268.8228,1.0156603,0.2729215
14,2017-03-17T11,292.08215,1.4248372,0.4164806
15,2017-03-17T07,294.97186,1.4721291,0.43443918
16,2017-03-31T08,316.22852,1.805228,0.5710562
17,2017-03-31T10,321.066,1.8167939,0.58349866
18,2017-03-17T11,312.06314,1.8018439,0.5625156
19,2017-03-17T13,318.3592,1.931725,0.6150751
20,2017-04-18T08,355.10684,2.1361423,0.7587282
21,2017-04-14T12,329.8997,1.7245234,0.5694421
22,2017-04-16T09,325.35025,1.4438996,0.46982357
23,2017-04-16T06,325.93094,1.496032,0.48767248
24,2017-04-18T12,355.2303,2.1224773,0.75415236
25,2018-03-31T10,285.01337,1.4321195,0.4080968
26,2018-03-31T08,285.01337,1.4321195,0.4080968
27,2018-03-30T09,281.40582,1.4277073,0.4016248
28,2018-03-30T10,281.8036,1.4145565,0.39856902
29,2018-03-30T12,281.76245,1.4111295,0.39740938
30,2018-03-29T11,277.19928,1.4301919,0.39624974
31,2018-03-15T12,263.78873,1.3891542,0.3664128
32,2018-04-17T11,314.7928,1.3110199,0.41248456
33,2018-03-15T11,261.82718,1.3603679,0.35622683
34,2018-03-15T10,261.95523,1.3583975,0.35580373
35,2018-03-16T11,264.00818,1.3476454,0.35578805
36,2018-03-16T10,263.50067,1.335951,0.35199574
37,2018-03-16T13,266.12057,1.3530428,0.35992512
38,2018-03-28T13,276.61404,1.4467697,0.40002638
39,2018-03-28T10,279.10596,1.4448421,0.4030508
40,2018-03-28T14,278.2692,1.4375169,0.39988533
41,2018-03-28T08,279.9518,1.4087306,0.39418122
42,2018-03-30T14,284.15378,1.4018768,0.39814588
43,2018-04-02T15,288.56604,1.3949801,0.40239266
44,2018-04-02T13,291.98157,1.3803726,0.40281576
45,2018-04-02T12,291.8764,1.3730476,0.4005435
46,2018-03-23T13,280.55994,1.3393779,0.37554878
47,2018-03-23T11,280.55994,1.3393779,0.37554878
48,2018-03-23T09,281.09946,1.3017672,0.36567625
49,2018-03-23T08,281.2092,1.2519908,0.35210544
50,2019-04-03T08,316.86404,2.4231915,0.7677075
51,2019-04-05T08,324.5501,2.3729012,0.76999545
52,2019-03-11T08,267.31396,1.5102967,0.40433583
53,2019-03-11T10,271.2873,1.5858607,0.43075657
54,2019-03-11T13,266.51837,1.4785974,0.39483938
55,2019-03-05T14,273.40427,1.270582,0.34745124
56,2019-03-05T12,281.9545,1.5244757,0.43049017
57,2019-03-05T08,273.3677,1.098164,0.30015713
58,2019-03-05T10,274.4422,1.2924287,0.35465977
59,2019-03-07T10,281.57956,1.4999301,0.4226862
60,2019-03-15T10,248.04626,1.251948,0.31035876
61,2019-03-15T12,243.51968,1.1831521,0.28807506
62,2019-03-26T10,284.50583,1.5209631,0.43280944
63,2019-03-26T12,293.55444,1.7832527,0.52398145
64,2019-03-26T13,298.1953,1.7777696,0.53045344
65,2019-03-26T09,282.69064,1.4663461,0.41456875
66,2019-03-16T08,255.27051,1.3178738,0.33616835
67,2019-03-17T07,259.5776,1.2968838,0.33634076
68,2019-04-08T14,325.57886,2.0694025,0.6742163
69,2019-04-08T11,333.32892,2.239336,0.7465678
70,2019-04-08T09,334.91553,2.3314352,0.7808709
71,2020-02-26T13,315.48322,1.5987118,0.5043774
72,2020-02-27T11,318.10773,1.7075601,0.54347575
73,2020-03-19T06,323.49847,1.4985594,0.48466372
74,2020-03-19T05,321.81586,1.4014056,0.45092475
75,2020-04-05T04,327.33463,1.9256421,0.63007194
76,2020-04-05T05,329.8997,1.6118627,0.5312683
77,2020-04-06T06,330.15576,1.677146,0.553646
78,2020-04-21T04,360.9045,1.2212769,0.44044107
79,2020-04-22T04,367.29202,1.3242565,0.4858547
80,2020-04-27T08,383.46884,1.964281,0.7531965
81,2020-04-28T04,394.511,2.3973608,0.9457891
82,2020-04-28T08,388.04572,2.1728961,0.8433499
83,2020-04-28T06,392.88324,2.319869,0.9115017
84,2020-04-28T12,389.79694,1.9575984,0.76305336
85,2020-04-28T11,385.24292,1.8496498,0.71265644
86,2020-04-29T03,381.83655,1.4374741,0.5490545
87,2020-04-29T04,381.83655,1.4374741,0.5490545
88,2020-04-29T05,384.47018,1.7046472,0.65545845
89,2020-04-29T09,386.2488,2.0220249,0.78110594
90,2020-04-29T10,390.69766,2.079512,0.8127607
91,2020-05-01T05,393.5691,1.9017822,0.74882436
92,2020-05-09T04,412.53958,2.3963757,0.98875815
93,2020-05-09T06,412.53958,2.3963757,0.98875815
94,2020-04-29T07,384.25986,1.7855659,0.686361
95,2021-04-12T08,312.87244,1.6777885,0.5247023
96,2021-04-12T09,312.99588,1.7446568,0.5457167
97,2021-04-12T11,312.22772,1.7973032,0.5609016
98,2021-04-17T03,327.6364,1.7752851,0.5816025
99,2021-04-17T05,327.6364,1.7752851,0.5816025
100,2021-05-03T02,353.71686,1.3374503,0.47278532
101,2021-05-03T04,352.66064,1.394466,0.49163717
102,2021-03-10T06,273.49573,1.2564031,0.3434709
103,2021-03-15T05,276.43573,1.105489,0.30543816
104,2021-03-16T08,279.5403,1.3110628,0.36642843
105,2021-03-16T12,277.45535,1.3715912,0.3805007
106,2021-03-18T05,286.856,1.1303772,0.32413328
107,2021-03-18T06,286.856,1.1303772,0.32413328
108,2021-03-18T07,285.89124,1.1459697,0.32747114
109,2021-03-18T09,285.87753,1.2563174,0.35915726
110,2021-03-26T05,304.09818,1.0664219,0.32389823
111,2021-03-26T06,305.10406,0.99222857,0.30272713
112,2021-03-26T08,301.716,1.153809,0.34792137
113,2021-03-26T09,301.716,1.153809,0.34792137
114,2021-03-28T05,302.64417,1.326227,0.40110764
115,2021-03-28T07,298.86288,1.4467697,0.43208858
116,2021-04-12T03,314.82022,1.460863,0.45966896
117,2021-04-12T05,312.76727,1.6235572,0.5075586
118,2021-04-12T06,314.0521,1.6035095,0.50343716
119,2022-01-31T09,260.12173,1.19052,0.3095282
120,2022-02-19T09,243.56082,1.2641994,0.30811784
121,2022-02-19T08,239.23999,1.1933901,0.2855834
122,2022-03-04T07,284.58356,1.5859892,0.45178664
123,2022-03-09T08,284.56985,1.2460365,0.35444036
124,2022-03-12T07,304.68344,1.5741663,0.47972745
125,2022-03-12T09,301.2725,1.490292,0.4491226
126,2022-03-13T10,296.7962,1.2040993,0.35730812
127,2022-03-13T08,296.7962,1.2040993,0.35730812
128,2022-03-13T05,291.72095,1.0791016,0.31468385
129,2022-03-13T06,291.63406,0.9965979,0.29080173
130,2022-03-14T14,321.98047,1.847208,0.5948756
131,2022-03-14T11,317.1521,1.6483597,0.5227121
132,2022-03-14T09,310.62744,1.6201302,0.5032648
133,2022-03-14T08,306.4666,1.425694,0.43696216
134,2022-03-14T06,304.30392,1.3799015,0.41991246
135,2022-03-15T10,325.66116,1.9007969,0.6190868
136,2022-03-15T07,303.26144,1.1269931,0.34174713
137,2022-03-15T07,325.7206,1.9378935,0.6312786
138,2022-03-15T08,325.7206,1.9378935,0.6312786
139,2022-03-16T13,322.03992,1.6983074,0.54678226
140,2022-03-16T09,307.38565,1.4253514,0.4382315
141,2022-04-15T10,315.82156,1.6410346,0.5180893
142,2017-02-21T10,302.01776,1.1332473,0.3422956
143,2017-02-26T08,284.91278,1.1034329,0.3147622
144,2017-02-26T11,288.68494,1.1670455,0.3375474
145,2017-02-26T13,306.3066,1.4468554,0.44398263
146,2017-03-04T09,260.64297,1.1914196,0.31100124
147,2017-03-04T11,256.2993,1.1532949,0.295691
148,2017-03-04T12,249.76088,1.1161982,0.27878234
149,2017-03-04T14,270.0665,1.3114911,0.35444036
150,2017-03-05T10,282.07794,1.3905679,0.39256713
151,2017-03-05T12,301.1902,1.5439664,0.4657492
152,2017-03-06T10,270.00247,1.3013388,0.35177636
153,2017-03-06T11,259.6965,1.2221764,0.31824112
154,2017-03-06T12,253.68849,1.1694015,0.2972424
155,2017-03-17T14,269.24805,1.0575975,0.28461182
156,2017-03-17T11,292.08215,1.4248372,0.4164806
157,2017-03-17T07,294.97186,1.4721291,0.43443918
158,2017-03-31T08,314.8705,1.7171984,0.54082745
159,2017-03-31T10,319.00845,1.8670843,0.5955338
160,2017-03-17T11,312.06314,1.8018439,0.5625156
161,2017-03-17T13,315.21344,1.8812633,0.59288543
162,2017-04-18T08,353.27335,2.0625913,0.7289226
163,2017-04-14T12,326.68536,1.6494734,0.53943276
164,2017-04-16T09,323.65393,1.383714,0.44771224
165,2017-04-16T06,324.75586,1.4029049,0.45595503
166,2017-04-18T12,350.5208,2.0284076,0.7117005
167,2017-04-18T10,355.2303,2.1224773,0.75415236
168,2018-03-31T10,285.01337,1.4321195,0.4080968
169,2018-03-31T08,282.1328,1.4438568,0.40720356
170,2018-03-30T09,281.8036,1.4145565,0.39856902
171,2018-03-30T10,281.14062,1.4174694,0.39842796
172,2018-03-30T12,281.76245,1.4111295,0.39740938
173,2018-03-29T11,277.35474,1.3964794,0.38720778
174,2018-03-15T12,264.39227,1.3789163,0.3645323
175,2018-04-17T11,318.98102,1.2798347,0.40792438
176,2018-03-15T11,261.95523,1.3583975,0.35580373
177,2018-03-15T10,263.77042,1.3715912,0.36172724
178,2018-03-16T11,263.97617,1.3393351,0.35354716
179,2018-03-16T10,262.86053,1.3329952,0.35030332
180,2018-03-16T13,272.3115,1.3305535,0.3619623
181,2018-03-28T13,279.41687,1.4306631,0.39960328
182,2018-03-28T10,279.43057,1.4399587,0.4022046
183,2018-03-28T14,278.59384,1.4325907,0.39903912
184,2018-03-28T08,279.75064,1.4018339,0.3919403
185,2018-03-30T14,281.83102,1.4135712,0.3981929
186,2018-04-02T15,289.89658,1.3882118,0.40232995
187,2018-04-02T13,291.98157,1.3803726,0.40281576
188,2018-04-02T12,291.8764,1.3730476,0.4005435
189,2018-03-23T13,279.26596,1.3721052,0.38302368
190,2018-03-23T11,279.14252,1.3457178,0.37529805
191,2018-03-23T09,279.6866,1.3232285,0.36981332
192,2018-03-23T08,279.0145,1.2821908,0.35766855
193,2019-04-03T08,311.15323,2.3160138,0.7210559
194,2019-04-05T08,324.5501,2.3729012,0.76999545
195,2019-03-11T08,262.4536,1.4477122,0.3800306
196,2019-03-11T10,275.10062,1.6490022,0.4544663
197,2019-03-11T13,262.3713,1.338307,0.35124356
198,2019-03-05T14,271.43362,1.2172502,0.33030754
199,2019-03-05T12,285.37457,1.5391687,0.43984556
200,2019-03-05T08,273.32654,1.167431,0.31908733
201,2019-03-05T10,274.42847,1.2305297,0.33761007
202,2019-03-07T10,278.13663,1.4287783,0.39783248
203,2019-03-15T10,245.74182,1.2953845,0.31824112
204,2019-03-15T12,241.54443,1.2343421,0.2980886
205,2019-03-26T10,284.50583,1.5209631,0.43280944
206,2019-03-26T12,290.59616,1.6830146,0.48944327
207,2019-03-26T13,297.36774,1.8353851,0.54593605
208,2019-03-26T09,282.69064,1.4663461,0.41456875
209,2019-03-16T08,252.28937,1.3164173,0.33201563
210,2019-03-17T07,259.24384,1.3598967,0.35254422
211,2019-04-08T14,325.57886,2.0694025,0.6742163
212,2019-04-08T11,329.46075,2.183477,0.7193791
213,2019-04-08T09,333.32892,2.239336,0.7465678
214,2020-02-26T13,312.74442,1.5458084,0.48320633
215,2020-02-27T11,315.30948,1.5946423,0.50274765
216,2020-03-19T06,323.05954,1.4394017,0.46495
217,2020-03-19T05,320.28873,1.3642232,0.43689948
218,2020-04-05T04,329.09497,1.8189358,0.59816647
219,2020-04-05T05,329.8997,1.7064035,0.56240594
220,2020-04-06T06,330.91476,1.609421,0.5322556
221,2020-04-21T04,357.6399,1.2895159,0.4607816
222,2020-04-22T04,364.3063,1.3841852,0.5038446
223,2020-04-27T08,382.09717,1.8785217,0.7177494
224,2020-04-28T04,392.88324,2.319869,0.9115017
225,2020-04-28T08,388.04572,2.1728961,0.8433499
226,2020-04-28T06,390.908,2.2533436,0.88083416
227,2020-04-28T12,388.9419,2.0054471,0.7800403
228,2020-04-28T11,383.56943,1.7655183,0.67709965
229,2020-04-29T03,381.53476,1.393138,0.5318011
230,2020-04-29T04,382.39893,1.5425528,0.590049
231,2020-04-29T05,384.47018,1.7046472,0.65545845
232,2020-04-29T09,384.87714,1.9413633,0.74727297
233,2020-04-29T10,387.7348,2.087351,0.8096109
234,2020-05-01T05,392.28882,1.9917394,0.7816701
235,2020-05-09T04,409.33438,2.3121157,0.94658834
236,2020-05-09T06,412.53958,2.3963757,0.98875815
237,2020-04-29T07,384.25986,1.7855659,0.686361
238,2021-04-12T08,312.87244,1.6777885,0.5247023
239,2021-04-12T09,313.06445,1.7250375,0.5398245
240,2021-04-12T11,312.99588,1.7446568,0.5457167
241,2021-04-17T03,325.96295,1.7344617,0.56563413
242,2021-04-17T05,327.6364,1.7752851,0.5816025
243,2021-05-03T02,354.6633,1.2899443,0.45705196
244,2021-05-03T04,354.47128,1.427279,0.50574076
245,2021-03-10T07,271.85428,1.3109771,0.35633653
246,2021-03-10T06,274.36902,1.2201631,0.33472666
247,2021-03-15T05,276.13394,1.0844562,0.29924825
248,2021-03-16T08,278.47952,1.2221336,0.3403681
249,2021-03-16T12,280.153,1.3584403,0.38053206
250,2021-03-18T05,287.2355,1.1654606,0.334758
251,2021-03-18T06,286.69598,1.0946941,0.31382197
252,2021-03-18T07,286.856,1.1303772,0.32413328
253,2021-03-18T09,286.6731,1.2129236,0.34768632
254,2021-03-26T05,302.61218,1.0956794,0.3312791
255,2021-03-26T06,303.06482,1.024399,0.3104371
256,2021-03-26T08,301.64285,1.1479831,0.3459312
257,2021-03-26T09,300.69638,1.2207628,0.36705527
258,2021-03-28T05,302.64417,1.326227,0.40110764
259,2021-03-28T07,300.4266,1.4092447,0.4228899
260,2021-04-12T03,314.82022,1.460863,0.45966896
261,2021-04-12T05,313.94235,1.569797,0.49259308
262,2021-04-12T06,312.81757,1.6459608,0.5146574
263,2022-01-31T09,259.45874,1.1405295,0.295785
264,2022-02-19T09,241.70905,1.2187066,0.29464108
265,2022-02-19T08,236.79839,1.1708579,0.27721527
266,2022-03-04T07,292.4205,1.5884738,0.46482465
267,2022-03-09T08,283.87485,1.1997299,0.34041512
268,2022-03-12T07,302.66705,1.5059273,0.4559707
269,2022-03-12T09,299.24695,1.4217958,0.42528751
270,2022-03-13T10,298.99548,1.2983831,0.3884301
271,2022-03-13T08,293.5773,1.1879927,0.34862655
272,2022-03-13T05,293.91565,1.1381307,0.33425653
273,2022-03-13T06,293.24353,1.0688636,0.31347722
274,2022-03-14T14,318.6107,1.8006873,0.5737515
275,2022-03-14T11,314.16638,1.6678933,0.5237934
276,2022-03-14T09,309.51636,1.5536475,0.48093408
277,2022-03-14T08,306.4666,1.425694,0.43696216
278,2022-03-14T06,304.30392,1.3799015,0.41991246
279,2022-03-15T10,324.63696,1.8320867,0.5948756
280,2022-03-15T07,304.9852,1.2011007,0.36620906
281,2022-03-15T07,320.0921,1.8702114,0.5994671
282,2022-03-15T08,325.7206,1.9378935,0.6312786
283,2022-03-16T13,322.03992,1.6983074,0.54678226
284,2022-03-16T09,305.76706,1.2953417,0.39587364
285,2022-04-15T10,314.39502,1.5562606,0.48950595
286,2017-02-21T10,303.52664,1.2075691,0.36692992
287,2017-02-26T08,275.07318,0.99359936,0.27336028
288,2017-02-26T11,292.65826,1.2381974,0.3624481
289,2017-02-26T13,299.41614,1.3749324,0.4120928
290,2017-03-04T09,265.55362,1.2260318,0.32598242
291,2017-03-04T11,256.2993,1.1532949,0.295691
292,2017-03-04T12,249.76088,1.1161982,0.27878234
293,2017-03-04T14,274.89484,1.3447753,0.3706752
294,2017-03-05T10,282.07794,1.3905679,0.39256713
295,2017-03-05T12,288.0448,1.4360605,0.4144904
296,2017-03-06T10,259.6965,1.2221764,0.31824112
297,2017-03-06T11,264.4517,1.2348561,0.32689133
298,2017-03-06T12,247.84508,1.1191968,0.27795178
299,2017-03-17T14,269.24805,1.0575975,0.28461182
300,2017-03-17T11,288.91354,1.3549705,0.3913605
301,2017-03-17T07,292.08215,1.4248372,0.4164806
302,2017-03-31T08,313.10562,1.6074934,0.50365657
303,2017-03-31T10,318.19458,1.7481265,0.55662346
304,2017-03-17T11,308.93567,1.7421294,0.5381948
305,2017-03-17T13,315.21344,1.8812633,0.59288543
306,2017-04-18T08,351.71417,1.960854,0.68977726
307,2017-04-14T12,326.68536,1.6494734,0.53943276
308,2017-04-16T09,325.35025,1.4438996,0.46982357
309,2017-04-16T06,325.93094,1.496032,0.48767248
310,2017-04-18T12,350.5208,2.0284076,0.7117005
311,2017-04-18T10,355.2303,2.1224773,0.75415236
312,2018-03-31T10,285.01337,1.4321195,0.4080968
313,2018-03-31T08,282.1328,1.4438568,0.40720356
314,2018-03-30T09,283.48163,1.4052609,0.3983496
315,2018-03-30T10,281.14062,1.4174694,0.39842796
316,2018-03-30T12,281.83102,1.4135712,0.3981929
317,2018-03-29T11,275.11432,1.4067602,0.38694137
318,2018-03-15T12,263.78873,1.3891542,0.3664128
319,2018-04-17T11,314.7928,1.3110199,0.41248456
320,2018-03-15T11,261.82718,1.3603679,0.35622683
321,2018-03-15T10,261.8592,1.3506011,0.35356283
322,2018-03-16T11,263.97617,1.3393351,0.35354716
323,2018-03-16T10,262.86053,1.3329952,0.35030332
324,2018-03-16T13,265.28384,1.3652513,0.362072
325,2018-03-28T13,278.2692,1.4375169,0.39988533
326,2018-03-28T10,279.43057,1.4399587,0.4022046
327,2018-03-28T14,278.59384,1.4325907,0.39903912
328,2018-03-28T08,279.9518,1.4087306,0.39418122
329,2018-03-30T14,284.28638,1.4077026,0.4000107
330,2018-04-02T15,291.77582,1.3823432,0.40303513
331,2018-04-02T13,291.8764,1.3730476,0.4005435
332,2018-04-02T12,292.8823,1.3549705,0.39656314
333,2018-03-23T13,279.14252,1.3457178,0.37529805
334,2018-03-23T11,280.55994,1.3393779,0.37554878
335,2018-03-23T09,280.24902,1.2993255,0.3640465
336,2018-03-23T08,279.0145,1.2821908,0.35766855
337,2019-04-03T08,311.15323,2.3160138,0.7210559
338,2019-04-05T08,324.5501,2.3729012,0.76999545
339,2019-03-11T08,262.4536,1.4477122,0.3800306
340,2019-03-11T10,267.31396,1.5102967,0.40433583
341,2019-03-11T13,264.82663,1.4092019,0.37354293
342,2019-03-05T14,273.40427,1.270582,0.34745124
343,2019-03-05T12,278.99164,1.4486545,0.40430447
344,2019-03-05T08,273.5963,1.0541706,0.28834146
345,2019-03-05T10,274.4422,1.2924287,0.35465977
346,2019-03-07T10,278.13663,1.4287783,0.39783248
347,2019-03-15T10,243.50139,1.2558889,0.3058456
348,2019-03-15T12,241.54443,1.2343421,0.2980886
349,2019-03-26T10,282.69064,1.4663461,0.41456875
350,2019-03-26T12,287.2218,1.5879598,0.45656618
351,2019-03-26T13,294.4003,1.7159133,0.50581914
352,2019-03-26T09,281.2092,1.3896254,0.3905456
353,2019-03-16T08,255.27051,1.3178738,0.33616835
354,2019-03-17T07,256.55533,1.2949133,0.33221936
355,2019-04-08T14,321.72443,1.9931102,0.6410414
356,2019-04-08T11,329.46075,2.183477,0.7193791
357,2019-04-08T09,331.78806,2.1127105,0.70088774
358,2020-02-26T13,315.48322,1.5987118,0.5043774
359,2020-02-27T11,316.32452,1.6562845,0.5238874
360,2020-03-19T06,323.05954,1.4394017,0.46495
361,2020-03-19T05,320.28873,1.3642232,0.43689948
362,2020-04-05T04,327.33463,1.9256421,0.63007194
363,2020-04-05T05,331.3994,1.5302157,0.5068534
364,2020-04-06T06,330.15576,1.677146,0.553646
365,2020-04-21T04,357.6399,1.2895159,0.4607816
366,2020-04-22T04,364.09598,1.3091351,0.4763269
367,2020-04-27T08,382.09717,1.8785217,0.7177494
368,2020-04-28T04,393.34503,2.2382221,0.88045806
369,2020-04-28T08,385.58582,2.0995595,0.80970496
370,2020-04-28T06,390.908,2.2533436,0.88083416
371,2020-04-28T12,388.37952,1.8871319,0.73280895
372,2020-04-28T11,383.56943,1.7655183,0.67709965
373,2020-04-29T03,381.83655,1.4374741,0.5490545
374,2020-04-29T04,381.53476,1.393138,0.5318011
375,2020-04-29T05,383.72034,1.61469,0.61966664
376,2020-04-29T09,385.2292,1.8628863,0.7179218
377,2020-04-29T10,388.5807,2.011273,0.78192085
378,2020-05-01T05,389.90665,1.826732,0.7125624
379,2020-05-09T04,409.33438,2.3121157,0.94658834
380,2020-05-09T06,412.53958,2.3963757,0.98875815
381,2020-04-29T07,384.47018,1.7046472,0.65545845
382,2021-04-12T08,312.81757,1.6459608,0.5146574
383,2021-04-12T09,313.06445,1.7250375,0.5398245
384,2021-04-12T11,314.39502,1.6849852,0.5295759
385,2021-04-17T03,325.96295,1.7344617,0.56563413
386,2021-04-17T05,327.6364,1.7752851,0.5816025
387,2021-05-03T02,354.6633,1.2899443,0.45705196
388,2021-05-03T04,353.71686,1.3374503,0.47278532
389,2021-03-10T06,273.49573,1.2564031,0.3434709
390,2021-03-15T05,276.13394,1.0844562,0.29924825
391,2021-03-16T08,277.25873,1.2583307,0.34879893
392,2021-03-16T12,278.32407,1.3471314,0.3748436
393,2021-03-18T05,286.69598,1.0946941,0.31382197
394,2021-03-18T06,286.69598,1.0946941,0.31382197
395,2021-03-18T07,285.89124,1.1459697,0.32747114
396,2021-03-18T09,285.87753,1.2563174,0.35915726
397,2021-03-26T05,303.46262,1.0527998,0.31935373
398,2021-03-26T06,303.06482,1.024399,0.3104371
399,2021-03-26T08,301.716,1.153809,0.34792137
400,2021-03-26T09,301.64285,1.1479831,0.3459312
401,2021-03-28T05,304.1256,1.2641565,0.384246
402,2021-03-28T07,300.4266,1.4092447,0.4228899
403,2021-04-12T03,315.42377,1.4092019,0.4442804
404,2021-04-12T05,314.3127,1.5063986,0.47320846
405,2021-04-12T06,313.92407,1.5747232,0.49411312
406,2022-01-31T09,260.12173,1.19052,0.3095282
407,2022-02-19T09,241.70905,1.2187066,0.29464108
408,2022-02-19T08,236.79839,1.1708579,0.27721527
409,2022-03-04T07,283.44965,1.5258036,0.4324647
410,2022-03-09T08,284.56985,1.2460365,0.35444036
411,2022-03-12T07,302.66705,1.5059273,0.4559707
412,2022-03-12T09,299.24695,1.4217958,0.42528751
413,2022-03-13T10,293.5773,1.1879927,0.34862655
414,2022-03-13T08,296.7962,1.2040993,0.35730812
415,2022-03-13T05,294.45975,1.0928093,0.321767
416,2022-03-13T06,293.24353,1.0688636,0.31347722
417,2022-03-14T14,318.6107,1.8006873,0.5737515
418,2022-03-14T11,314.13895,1.5918579,0.5003814
419,2022-03-14T09,308.515,1.477141,0.4560177
420,2022-03-14T08,304.30392,1.3799015,0.41991246
421,2022-03-14T06,303.80554,1.3251989,0.40239266
422,2022-03-15T10,323.85052,1.7660323,0.57196504
423,2022-03-15T07,302.97797,1.0746894,0.32559064
424,2022-03-15T07,320.0921,1.8702114,0.5994671
425,2022-03-15T08,325.7206,1.9378935,0.6312786
426,2022-03-16T13,319.0542,1.642491,0.5238091
427,2022-03-16T09,306.15112,1.3633237,0.41724846
428,2022-04-15T10,315.82156,1.6410346,0.5180893
429,2023-03-26T12,269.06058,1.3622956,0.36647546
430,2023-03-27T13,273.17566,1.4247944,0.38941732
431,2023-03-27T11,276.11108,1.3788735,0.38079846
432,2023-03-25T10,250.60217,1.1123,0.27871966
433,2023-03-25T11,250.60217,1.1123,0.27871966
434,2023-03-11T08,276.5683,0.99419904,0.27475497
435,2023-03-11T10,274.7531,1.1108865,0.30529714
436,2023-03-07T12,271.45648,1.1538517,0.31328917
437,2023-03-25T12,258.74088,1.2680975,0.32841137
438,2023-03-11T11,273.3357,1.1630188,0.317865
439,2023-03-25T13,261.58945,1.3056225,0.34173146
440,2023-04-17T11,334.51315,1.3524859,0.45242912
441,2023-04-13T06,319.6303,1.291058,0.41253158
442,2023-04-13T09,322.43768,1.3525716,0.43611595
443,2023-03-12T07,274.83542,0.7861408,0.21597424
444,2023-03-12T08,274.76224,0.7226995,0.19847009
445,2023-03-06T11,274.49707,1.0126189,0.2777794
446,2023-03-06T13,277.94916,0.8384017,0.23285156
447,2023-03-07T11,276.21625,0.8676592,0.23958996
448,2023-03-07T09,278.11832,0.8384017,0.23308662
449,2023-03-07T08,280.6971,0.77247584,0.21699286
450,2023-03-06T09,273.03848,1.063509,0.29019058
452,2023-04-17T05,335.862,1.3680786,0.45954362
453,2023-03-26T12,266.3309,1.3286687,0.35397026
454,2023-03-27T13,270.89407,1.3803726,0.37401307
455,2023-03-27T11,275.72244,1.4325907,0.3950431
456,2023-03-25T10,247.43814,1.105489,0.27354833
457,2023-03-25T11,252.17049,1.1768123,0.296976
458,2023-03-11T08,275.73615,0.94673586,0.26087075
459,2023-03-11T10,275.3841,1.0614529,0.2922121
460,2023-03-07T12,276.2071,1.1743705,0.32430565
461,2023-03-25T12,258.74088,1.2680975,0.32841137
462,2023-03-11T11,276.21167,1.217807,0.33640343
463,2023-03-25T13,261.58945,1.3056225,0.34173146
464,2023-04-17T11,333.47525,1.3081499,0.43616295
465,2023-04-13T06,319.6303,1.291058,0.41253158
466,2023-04-13T09,320.26584,1.3349229,0.4274187
467,2023-03-12T07,272.14688,0.8100437,0.22036204
468,2023-03-12T08,270.5969,0.75242823,0.20357874
469,2023-03-06T11,276.99353,0.9556459,0.2643183
470,2023-03-06T13,278.63043,0.8876211,0.24697086
471,2023-03-07T11,278.11832,0.8384017,0.23308662
472,2023-03-07T09,279.63632,0.7973212,0.22302607
473,2023-03-07T08,280.95316,0.74900126,0.21059921
474,2023-03-06T09,272.04172,0.9569739,0.26027524
475,2023-04-17T05,335.862,1.3680786,0.45954362
476,2023-03-26T12,266.3309,1.3286687,0.35397026
477,2023-03-27T13,268.10956,1.3193731,0.35398594
478,2023-03-27T11,273.386,1.3608391,0.37214825
479,2023-03-25T10,250.60217,1.1123,0.27871966
480,2023-03-25T11,247.43814,1.105489,0.27354833
481,2023-03-11T08,276.5683,0.99419904,0.27475497
482,2023-03-11T10,275.3841,1.0614529,0.2922121
483,2023-03-07T12,272.0463,1.1088303,0.30148914
484,2023-03-25T12,255.64087,1.2094539,0.30924612
485,2023-03-11T11,274.7531,1.1108865,0.30529714
486,2023-03-25T13,258.74088,1.2680975,0.32841137
487,2023-04-17T11,332.8031,1.2416672,0.4130644
488,2023-04-13T06,317.4676,1.265613,0.4015151
489,2023-04-13T09,320.26584,1.3349229,0.4274187
490,2023-03-12T07,271.9,0.77247584,0.20992535
491,2023-03-12T08,270.5969,0.75242823,0.20357874
492,2023-03-06T11,274.49707,1.0126189,0.2777794
493,2023-03-06T13,279.57233,0.7973212,0.22280666
494,2023-03-07T11,276.21625,0.8676592,0.23958996
495,2023-03-07T09,279.63632,0.7973212,0.22302607
496,2023-03-07T08,280.95316,0.74900126,0.21059921
497,2023-03-06T09,270.15793,1.0053794,0.27132308
498,2023-04-17T05,335.862,1.3680786,0.45954362
