ID,ERA5_time,skt,rsn,sd
0,2017-02-21T10,-14.0,286.0,0.25258922576904297
1,2017-02-26T08,-15.0,263.0,0.2315673828125
2,2017-02-26T11,-11.0,271.0,0.2586698532104492
3,2017-02-26T13,-12.0,286.0,0.3020029067993164
4,2017-03-04T09,-18.0,244.0,0.2195453643798828
5,2017-03-04T11,-15.0,207.0,0.1442394256591797
6,2017-03-04T12,-14.0,200.0,0.13568401336669922
7,2017-03-04T14,-18.0,244.0,0.2211160659790039
8,2017-03-05T10,-19.0,245.0,0.21681976318359375
9,2017-03-05T12,-17.0,259.0,0.2367382049560547
10,2017-03-06T10,-19.0,222.0,0.1624441146850586
11,2017-03-06T11,-18.0,222.0,0.16244792938232422
12,2017-03-06T12,-17.0,213.0,0.15129661560058594
13,2017-03-17T14,-1.0,230.0,0.13861560821533203
14,2017-03-17T11,-2.0,239.0,0.17249679565429688
15,2017-03-17T07,-3.0,280.0,0.32116031646728516
16,2017-03-31T08,-11.0,302.0,0.3878765106201172
17,2017-03-31T10,-8.0,302.0,0.38817787170410156
18,2017-03-17T11,-2.0,284.0,0.3439788818359375
19,2017-03-17T13,-2.0,288.0,0.3681917190551758
20,2017-04-18T08,-5.0,330.0,0.4157905578613281
21,2017-04-14T12,-7.0,318.0,0.4010610580444336
22,2017-04-16T09,-8.0,299.0,0.2852163314819336
23,2017-04-16T06,-12.0,303.0,0.3061208724975586
24,2017-04-18T12,-3.0,330.0,0.40900325775146484
25,2018-03-31T10,-7.0,248.0,0.25634288787841797
26,2018-03-31T08,-9.0,259.0,0.3072681427001953
27,2018-03-30T09,-7.0,244.0,0.2515993118286133
28,2018-03-30T10,-7.0,260.0,0.2903175354003906
29,2018-03-30T12,-7.0,273.0,0.3339672088623047
30,2018-03-29T11,-8.0,276.0,0.35393524169921875
31,2018-03-15T12,-17.0,264.0,0.29914379119873047
32,2018-04-17T11,2.0,326.0,0.376495361328125
33,2018-03-15T11,-17.0,271.0,0.3523721694946289
34,2018-03-15T10,-18.0,271.0,0.3523712158203125
35,2018-03-16T11,-17.0,270.0,0.3392200469970703
36,2018-03-16T10,-17.0,273.0,0.35282230377197266
37,2018-03-16T13,-20.0,255.0,0.26546669006347656
38,2018-03-28T13,-9.0,273.0,0.3567190170288086
39,2018-03-28T10,-9.0,267.0,0.33466053009033203
40,2018-03-28T14,-9.0,286.0,0.3985280990600586
41,2018-03-28T08,-9.0,285.0,0.3990936279296875
42,2018-03-30T14,-9.0,274.0,0.3339700698852539
43,2018-04-02T15,-11.0,283.0,0.3462362289428711
44,2018-04-02T13,-8.0,295.0,0.3906440734863281
45,2018-04-02T12,-6.0,303.0,0.41545677185058594
46,2018-03-23T13,-8.0,289.0,0.3757600784301758
47,2018-03-23T11,-8.0,289.0,0.37575721740722656
48,2018-03-23T09,-9.0,290.0,0.3684215545654297
49,2018-03-23T08,-9.0,288.0,0.35380077362060547
50,2019-04-03T08,-3.0,240.0,0.22603130340576172
51,2019-04-05T08,-6.0,270.0,0.2954721450805664
52,2019-03-11T08,-19.0,200.0,0.15765857696533203
53,2019-03-11T10,-17.0,203.0,0.15742111206054688
54,2019-03-11T13,-17.0,203.0,0.15741825103759766
55,2019-03-05T14,-22.0,219.0,0.14487648010253906
56,2019-03-05T12,-24.0,212.0,0.13730430603027344
57,2019-03-05T08,-24.0,219.0,0.14467906951904297
58,2019-03-05T10,-22.0,219.0,0.1477508544921875
59,2019-03-07T10,-16.0,221.0,0.17766380310058594
60,2019-03-15T10,-5.0,197.0,0.15789508819580078
61,2019-03-15T12,-4.0,199.0,0.159820556640625
62,2019-03-26T10,-10.0,239.0,0.22537517547607422
63,2019-03-26T12,-10.0,239.0,0.2318553924560547
64,2019-03-26T13,-10.0,239.0,0.2318553924560547
65,2019-03-26T09,-8.0,228.0,0.16921329498291016
66,2019-03-16T08,-6.0,199.0,0.15088939666748047
67,2019-03-17T07,-10.0,204.0,0.15097999572753906
68,2019-04-08T14,-6.0,280.0,0.2918119430541992
69,2019-04-08T11,-4.0,283.0,0.3007974624633789
70,2019-04-08T09,-4.0,285.0,0.30400753021240234
71,2020-02-26T13,-17.0,281.0,0.3250999450683594
72,2020-02-27T11,-19.0,281.0,0.3257417678833008
73,2020-03-19T06,-6.0,283.0,0.27637577056884766
74,2020-03-19T05,-6.0,289.0,0.2763214111328125
75,2020-04-05T04,-14.0,284.0,0.32833385467529297
76,2020-04-05T05,-15.0,291.0,0.3355379104614258
77,2020-04-06T06,-7.0,292.0,0.33388519287109375
78,2020-04-21T04,-0.0,327.0,0.2382059097290039
79,2020-04-22T04,-2.0,330.0,0.2547473907470703
80,2020-04-27T08,-1.0,347.0,0.39965248107910156
81,2020-04-28T04,-7.0,342.0,0.3874387741088867
82,2020-04-28T08,-1.0,351.0,0.4137582778930664
83,2020-04-28T06,-3.0,345.0,0.3994894027709961
84,2020-04-28T12,-0.0,347.0,0.36307430267333984
85,2020-04-28T11,-1.0,351.0,0.3631153106689453
86,2020-04-29T03,-8.0,346.0,0.28845787048339844
87,2020-04-29T04,-7.0,346.0,0.2854461669921875
88,2020-04-29T05,-6.0,346.0,0.2838602066040039
89,2020-04-29T09,-1.0,353.0,0.40546607971191406
90,2020-04-29T10,-1.0,353.0,0.4076194763183594
94,2020-04-29T07,-4.0,358.0,0.41771602630615234
95,2021-04-12T08,-7.0,250.0,0.20949745178222656
96,2021-04-12T09,-7.0,236.0,0.18880176544189453
97,2021-04-12T11,-4.0,229.0,0.17906761169433594
98,2021-04-17T03,-10.0,234.0,0.12815475463867188
99,2021-04-17T05,-7.0,251.0,0.17269515991210938
102,2021-03-10T06,-17.0,223.0,0.1584796905517578
103,2021-03-15T05,-5.0,247.0,0.20615386962890625
104,2021-03-16T08,-7.0,214.0,0.1476001739501953
105,2021-03-16T12,-6.0,196.0,0.11800479888916016
106,2021-03-18T05,-13.0,237.0,0.17479705810546875
107,2021-03-18T06,-11.0,250.0,0.1904621124267578
108,2021-03-18T07,-12.0,238.0,0.17513561248779297
109,2021-03-18T09,-10.0,219.0,0.1455059051513672
110,2021-03-26T05,-7.0,275.0,0.18721771240234375
111,2021-03-26T06,-4.0,285.0,0.20010662078857422
112,2021-03-26T08,-2.0,263.0,0.1691579818725586
113,2021-03-26T09,-1.0,263.0,0.16916370391845703
114,2021-03-28T05,-5.0,268.0,0.1660594940185547
115,2021-03-28T07,-4.0,235.0,0.16303443908691406
116,2021-04-12T03,-12.0,262.0,0.2294597625732422
117,2021-04-12T05,-11.0,249.0,0.2092742919921875
118,2021-04-12T06,-10.0,249.0,0.20934295654296875
119,2022-01-31T09,-15.0,215.0,0.1431131362915039
120,2022-02-19T09,-14.0,176.0,0.120208740234375
121,2022-02-19T08,-14.0,181.0,0.12872314453125
122,2022-03-04T07,-10.0,230.0,0.19402408599853516
123,2022-03-09T08,-4.0,244.0,0.2088174819946289
124,2022-03-12T07,-8.0,276.0,0.2957763671875
125,2022-03-12T09,-4.0,257.0,0.2115612030029297
126,2022-03-13T10,-5.0,260.0,0.19443988800048828
127,2022-03-13T08,-7.0,260.0,0.19301891326904297
128,2022-03-13T05,-9.0,267.0,0.2101755142211914
129,2022-03-13T06,-8.0,271.0,0.21480751037597656
130,2022-03-14T14,-7.0,279.0,0.28533363342285156
131,2022-03-14T11,-6.0,284.0,0.2983427047729492
132,2022-03-14T09,-7.0,284.0,0.296905517578125
133,2022-03-14T08,-10.0,289.0,0.31014251708984375
134,2022-03-14T06,-10.0,262.0,0.1948986053466797
135,2022-03-15T10,-4.0,282.0,0.2815532684326172
136,2022-03-15T07,-11.0,266.0,0.21453285217285156
137,2022-03-15T07,-13.0,245.0,0.18265056610107422
138,2022-03-15T08,-7.0,281.0,0.28110504150390625
139,2022-03-16T13,-7.0,290.0,0.2987184524536133
140,2022-03-16T09,-8.0,263.0,0.2011251449584961
141,2022-04-15T10,-5.0,244.0,0.1922473907470703
142,2017-02-21T10,-15.0,255.0,0.15853404998779297
143,2017-02-26T08,-15.0,263.0,0.2315673828125
144,2017-02-26T11,-12.0,263.0,0.2304096221923828
145,2017-02-26T13,-11.0,272.0,0.2586812973022461
146,2017-03-04T09,-18.0,244.0,0.2195453643798828
147,2017-03-04T11,-14.0,200.0,0.13568115234375
148,2017-03-04T12,-14.0,200.0,0.13568401336669922
149,2017-03-04T14,-17.0,219.0,0.16858768463134766
150,2017-03-05T10,-19.0,245.0,0.21681976318359375
151,2017-03-05T12,-17.0,259.0,0.2367382049560547
152,2017-03-06T10,-19.0,222.0,0.1624441146850586
153,2017-03-06T11,-18.0,213.0,0.1512928009033203
154,2017-03-06T12,-17.0,213.0,0.15129661560058594
155,2017-03-17T14,-1.0,230.0,0.13861560821533203
156,2017-03-17T11,-2.0,262.0,0.2571706771850586
157,2017-03-17T07,-3.0,280.0,0.32116031646728516
158,2017-03-31T08,-10.0,301.0,0.3751516342163086
159,2017-03-31T10,-8.0,302.0,0.38817787170410156
160,2017-03-17T11,-2.0,284.0,0.3439788818359375
161,2017-03-17T13,-2.0,288.0,0.3681917190551758
162,2017-04-18T08,-6.0,329.0,0.4131488800048828
163,2017-04-14T12,-8.0,315.0,0.3838033676147461
164,2017-04-16T09,-7.0,283.0,0.20957660675048828
165,2017-04-16T06,-13.0,299.0,0.2855243682861328
166,2017-04-18T12,-3.0,330.0,0.40900325775146484
167,2017-04-18T10,-3.0,330.0,0.4168987274169922
168,2018-03-31T10,-7.0,248.0,0.25634288787841797
169,2018-03-31T08,-9.0,259.0,0.3072681427001953
170,2018-03-30T09,-7.0,260.0,0.2903728485107422
171,2018-03-30T10,-7.0,260.0,0.2903175354003906
172,2018-03-30T12,-7.0,273.0,0.3339672088623047
173,2018-03-29T11,-8.0,280.0,0.3659658432006836
174,2018-03-15T12,-17.0,271.0,0.3523731231689453
175,2018-04-17T11,2.0,337.0,0.4183807373046875
176,2018-03-15T11,-17.0,271.0,0.3523721694946289
177,2018-03-15T10,-18.0,271.0,0.3523712158203125
178,2018-03-16T11,-16.0,273.0,0.3528261184692383
179,2018-03-16T10,-17.0,273.0,0.35282230377197266
180,2018-03-16T13,-18.0,265.0,0.3012113571166992
181,2018-03-28T13,-9.0,273.0,0.3567190170288086
182,2018-03-28T10,-9.0,280.0,0.37766170501708984
183,2018-03-28T14,-9.0,286.0,0.3985280990600586
184,2018-03-28T08,-8.0,286.0,0.39606571197509766
185,2018-03-30T14,-9.0,274.0,0.3339700698852539
186,2018-04-02T15,-11.0,296.0,0.3906412124633789
187,2018-04-02T13,-8.0,295.0,0.3906440734863281
188,2018-04-02T12,-7.0,297.0,0.3896636962890625
189,2018-03-23T13,-8.0,289.0,0.3757600784301758
190,2018-03-23T11,-8.0,290.0,0.3684043884277344
191,2018-03-23T09,-9.0,290.0,0.3684215545654297
192,2018-03-23T08,-9.0,288.0,0.35380077362060547
193,2019-04-03T08,-3.0,240.0,0.22603130340576172
194,2019-04-05T08,-6.0,270.0,0.2954721450805664
195,2019-03-11T08,-19.0,200.0,0.15765857696533203
196,2019-03-11T10,-17.0,203.0,0.15742111206054688
197,2019-03-11T13,-16.0,172.0,0.09714126586914062
198,2019-03-05T14,-20.0,216.0,0.1274423599243164
199,2019-03-05T12,-21.0,220.0,0.14775371551513672
200,2019-03-05T08,-24.0,219.0,0.14467906951904297
201,2019-03-05T10,-22.0,219.0,0.14487075805664062
202,2019-03-07T10,-16.0,222.0,0.1735248565673828
203,2019-03-15T10,-5.0,197.0,0.15789508819580078
204,2019-03-15T12,-4.0,199.0,0.159820556640625
205,2019-03-26T10,-10.0,239.0,0.22537517547607422
206,2019-03-26T12,-11.0,239.0,0.2253742218017578
207,2019-03-26T13,-10.0,239.0,0.2318553924560547
208,2019-03-26T09,-10.0,236.0,0.2026233673095703
209,2019-03-16T08,-5.0,203.0,0.16099166870117188
210,2019-03-17T07,-10.0,204.0,0.15097999572753906
211,2019-04-08T14,-6.0,280.0,0.2918119430541992
212,2019-04-08T11,-4.0,283.0,0.3007974624633789
213,2019-04-08T09,-5.0,283.0,0.3004312515258789
214,2020-02-26T13,-16.0,269.0,0.26560020446777344
215,2020-02-27T11,-19.0,262.0,0.24433422088623047
216,2020-03-19T06,-5.0,289.0,0.276214599609375
217,2020-03-19T05,-6.0,289.0,0.2763214111328125
218,2020-04-05T04,-14.0,291.0,0.3365039825439453
219,2020-04-05T05,-15.0,291.0,0.3355379104614258
220,2020-04-06T06,-7.0,292.0,0.33388519287109375
221,2020-04-21T04,-0.0,327.0,0.2382059097290039
222,2020-04-22T04,-2.0,330.0,0.2547473907470703
223,2020-04-27T08,-1.0,353.0,0.41111183166503906
224,2020-04-28T04,-7.0,345.0,0.39751434326171875
225,2020-04-28T08,-1.0,351.0,0.4137582778930664
226,2020-04-28T06,-3.0,345.0,0.3994894027709961
227,2020-04-28T12,-1.0,347.0,0.3532533645629883
228,2020-04-28T11,-1.0,351.0,0.3631153106689453
229,2020-04-29T03,-9.0,347.0,0.26023387908935547
230,2020-04-29T04,-7.0,346.0,0.2854461669921875
231,2020-04-29T05,-6.0,351.0,0.3460102081298828
232,2020-04-29T09,-2.0,358.0,0.4171323776245117
233,2020-04-29T10,-1.0,353.0,0.4076194763183594
237,2020-04-29T07,-4.0,358.0,0.41771602630615234
238,2021-04-12T08,-7.0,250.0,0.20949745178222656
239,2021-04-12T09,-7.0,236.0,0.18880176544189453
240,2021-04-12T11,-5.0,237.0,0.1913909912109375
241,2021-04-17T03,-10.0,234.0,0.12815475463867188
242,2021-04-17T05,-7.0,251.0,0.17269515991210938
245,2021-03-10T07,-16.0,223.0,0.1586771011352539
246,2021-03-10T06,-16.0,233.0,0.17145061492919922
247,2021-03-15T05,-5.0,247.0,0.20615386962890625
248,2021-03-16T08,-6.0,234.0,0.17091083526611328
249,2021-03-16T12,-5.0,214.0,0.1472177505493164
250,2021-03-18T05,-13.0,237.0,0.17479705810546875
251,2021-03-18T06,-11.0,258.0,0.21024703979492188
252,2021-03-18T07,-12.0,238.0,0.17513561248779297
