ID,ERA5_time,t2m,rsn,sd
0,2017-02-21T10,260.74536,286.32812,0.25258923
1,2017-02-26T08,258.74377,262.6875,0.23156738
2,2017-02-26T11,263.69733,271.4375,0.25866985
3,2017-02-26T13,265.0475,286.02344,0.3020029
4,2017-03-04T09,260.33405,243.66405,0.21954536
5,2017-03-04T11,262.57568,207.49998,0.14423943
6,2017-03-04T12,265.33105,200.22655,0.13568401
7,2017-03-04T14,264.61768,244.04686,0.22111607
8,2017-03-05T10,256.41153,245.31248,0.21681976
9,2017-03-05T12,261.7555,258.70312,0.2367382
10,2017-03-06T10,260.05664,221.60155,0.16244411
11,2017-03-06T11,261.46716,221.64842,0.16244793
12,2017-03-06T12,262.82373,213.28905,0.15129662
13,2017-03-17T14,274.17175,230.49998,0.13861561
14,2017-03-17T11,273.25452,239.08592,0.1724968
15,2017-03-17T07,270.7379,279.89062,0.32116032
16,2017-03-31T08,264.33203,301.96875,0.3878765
17,2017-03-31T10,267.1411,302.17188,0.38817787
18,2017-03-17T11,272.41272,284.34375,0.34397888
19,2017-03-17T13,272.474,288.28906,0.36819172
20,2017-04-18T08,266.1985,329.875,0.41579056
21,2017-04-14T12,265.07983,318.02344,0.40106106
22,2017-04-16T09,266.49133,299.0,0.28521633
23,2017-04-16T06,262.92548,303.0547,0.30612087
24,2017-04-18T12,269.86877,329.9453,0.40900326
25,2018-03-31T10,267.7024,247.53905,0.2563429
26,2018-03-31T08,264.4519,258.53906,0.30726814
27,2018-03-30T09,267.97424,244.21873,0.2515993
28,2018-03-30T10,268.646,260.01562,0.29031754
29,2018-03-30T12,269.33875,273.4453,0.3339672
30,2018-03-29T11,267.19263,276.0,0.35393524
31,2018-03-15T12,261.95703,263.82812,0.2991438
32,2018-04-17T11,281.16406,326.15625,0.37649536
33,2018-03-15T11,260.3833,271.39062,0.35237217
34,2018-03-15T10,258.43695,271.32812,0.35237122
35,2018-03-16T11,263.2229,269.6328,0.33922005
36,2018-03-16T10,261.18085,272.54688,0.3528223
37,2018-03-16T13,262.1814,255.41405,0.2654667
38,2018-03-28T13,268.58496,272.90625,0.35671902
39,2018-03-28T10,267.9193,266.78125,0.33466053
40,2018-03-28T14,268.5337,286.0078,0.3985281
41,2018-03-28T08,265.7682,285.0703,0.39909363
42,2018-03-30T14,269.22046,273.75,0.33397007
43,2018-04-02T15,267.55127,282.96875,0.34623623
44,2018-04-02T13,267.82007,295.39844,0.39064407
45,2018-04-02T12,269.54395,303.39844,0.41545677
46,2018-03-23T13,267.35498,289.20312,0.37576008
47,2018-03-23T11,266.0183,289.0,0.37575722
48,2018-03-23T09,263.9319,289.6875,0.36842155
49,2018-03-23T08,262.52588,288.10938,0.35380077
50,2019-04-03T08,270.7838,240.03905,0.2260313
51,2019-04-05T08,267.98694,270.4453,0.29547215
52,2019-03-11T08,256.99207,200.30467,0.15765858
53,2019-03-11T10,259.1853,202.60936,0.15742111
54,2019-03-11T13,262.70618,202.91405,0.15741825
55,2019-03-05T14,257.41876,219.05467,0.14487648
56,2019-03-05T12,256.66882,212.02342,0.1373043
57,2019-03-05T08,249.95229,218.78123,0.14467907
58,2019-03-05T10,253.1642,219.48436,0.14775085
59,2019-03-07T10,257.87744,220.81248,0.1776638
60,2019-03-15T10,268.95728,197.24217,0.15789509
61,2019-03-15T12,270.40625,198.52342,0.15982056
62,2019-03-26T10,266.9751,239.03123,0.22537518
63,2019-03-26T12,266.71948,238.76561,0.23185539
64,2019-03-26T13,267.6194,238.93748,0.23185539
65,2019-03-26T09,267.94556,228.42186,0.1692133
66,2019-03-16T08,268.93616,198.64061,0.1508894
67,2019-03-17T07,262.69897,203.72655,0.15098
68,2019-04-08T14,268.6018,280.1172,0.29181194
69,2019-04-08T11,268.51233,283.02344,0.30079746
70,2019-04-08T09,267.12866,285.16406,0.30400753
71,2020-02-26T13,262.474,280.66406,0.32509995
72,2020-02-27T11,260.26562,280.67188,0.32574177
73,2020-03-19T06,268.30664,283.04688,0.27637577
74,2020-03-19T05,267.72375,288.53125,0.2763214
75,2020-04-05T04,259.5006,284.48438,0.32833385
76,2020-04-05T05,259.31677,291.28125,0.3355379
77,2020-04-06T06,266.56396,292.09375,0.3338852
78,2020-04-21T04,275.06073,327.1328,0.23820591
79,2020-04-22T04,271.37134,330.2578,0.2547474
80,2020-04-27T08,272.20398,346.70312,0.39965248
81,2020-04-28T04,268.98535,342.21875,0.38743877
82,2020-04-28T08,270.44666,350.64844,0.41375828
83,2020-04-28T06,269.8224,345.03125,0.3994894
84,2020-04-28T12,272.3977,346.6875,0.3630743
85,2020-04-28T11,271.77637,351.17188,0.3631153
86,2020-04-29T03,267.60913,345.8435,0.28845787
87,2020-04-29T04,268.42615,345.91382,0.28544617
88,2020-04-29T05,269.17737,345.97632,0.2838602
89,2020-04-29T09,270.7804,353.2107,0.40546608
90,2020-04-29T10,271.04163,353.29663,0.40761948
91,2020-05-01T05,274.7168,350.87476,0.3470335
92,2020-05-09T04,268.2921,347.85156,0.36093426
93,2020-05-09T06,269.2804,347.03906,0.38446712
94,2020-04-29T07,269.7566,357.656,0.41771603
95,2021-04-12T08,268.4784,249.59373,0.20949745
96,2021-04-12T09,269.58862,236.35936,0.18880177
97,2021-04-12T11,271.22253,229.09373,0.17906761
98,2021-04-17T03,270.4629,234.27342,0.12815475
99,2021-04-17T05,270.68933,251.28905,0.17269516
100,2021-05-03T02,262.27942,313.02344,0.14853668
101,2021-05-03T04,264.44836,299.34375,0.12867069
102,2021-03-10T06,255.60011,222.66405,0.15847969
103,2021-03-15T05,268.3147,247.49217,0.20615387
104,2021-03-16T08,266.42468,213.76561,0.14760017
105,2021-03-16T12,269.77197,195.53123,0.1180048
106,2021-03-18T05,260.3589,237.4453,0.17479706
107,2021-03-18T06,261.6372,249.67967,0.19046211
108,2021-03-18T07,261.2976,237.65623,0.17513561
109,2021-03-18T09,263.6809,218.60155,0.1455059
110,2021-03-26T05,267.57312,275.21094,0.18721771
111,2021-03-26T06,267.8681,285.375,0.20010662
112,2021-03-26T08,272.24182,262.96875,0.16915798
113,2021-03-26T09,273.5575,263.1328,0.1691637
114,2021-03-28T05,270.72748,268.33594,0.1660595
115,2021-03-28T07,270.75916,234.68748,0.16303444
116,2021-04-12T03,266.68445,262.20312,0.22945976
117,2021-04-12T05,266.91992,249.0703,0.20927429
118,2021-04-12T06,267.6361,249.24217,0.20934296
119,2022-01-31T09,258.4284,214.73436,0.14311314
120,2022-02-19T09,260.53442,175.56248,0.12020874
121,2022-02-19T08,260.06592,181.35936,0.12872314
122,2022-03-04T07,260.99316,229.60155,0.19402409
123,2022-03-09T08,268.8672,244.41405,0.20881748
124,2022-03-12T07,268.44238,276.4375,0.29577637
125,2022-03-12T09,270.85986,257.34375,0.2115612
126,2022-03-13T10,270.42822,259.96094,0.19443989
127,2022-03-13T08,266.47485,259.78125,0.19301891
128,2022-03-13T05,264.45898,266.6172,0.21017551
129,2022-03-13T06,262.6819,270.73438,0.21480751
130,2022-03-14T14,273.59485,279.21094,0.28533363
131,2022-03-14T11,272.802,284.1953,0.2983427
132,2022-03-14T09,269.5879,283.98438,0.29690552
133,2022-03-14T08,268.46826,289.29688,0.31014252
134,2022-03-14T06,264.61914,262.4453,0.1948986
135,2022-03-15T10,272.26257,281.60156,0.28155327
136,2022-03-15T07,266.47217,265.9297,0.21453285
137,2022-03-15T07,267.83545,244.99998,0.18265057
138,2022-03-15T08,268.64795,281.33594,0.28110504
139,2022-03-16T13,271.00366,289.8047,0.29871845
140,2022-03-16T09,267.9082,263.14844,0.20112514
141,2022-04-15T10,270.56152,244.39842,0.19224739
142,2017-02-21T10,259.63403,255.24217,0.15853405
143,2017-02-26T08,258.74377,262.6875,0.23156738
144,2017-02-26T11,263.7989,262.85938,0.23040962
145,2017-02-26T13,265.4049,271.58594,0.2586813
146,2017-03-04T09,260.33405,243.66405,0.21954536
147,2017-03-04T11,263.56006,200.14061,0.13568115
148,2017-03-04T12,265.33105,200.22655,0.13568401
149,2017-03-04T14,263.6997,218.73436,0.16858768
150,2017-03-05T10,256.41153,245.31248,0.21681976
151,2017-03-05T12,261.7555,258.70312,0.2367382
152,2017-03-06T10,260.05664,221.60155,0.16244411
153,2017-03-06T11,261.39294,213.22655,0.1512928
154,2017-03-06T12,262.82373,213.28905,0.15129662
155,2017-03-17T14,274.17175,230.49998,0.13861561
156,2017-03-17T11,272.8463,261.89062,0.25717068
157,2017-03-17T07,270.7379,279.89062,0.32116032
158,2017-03-31T08,264.60938,301.25,0.37515163
159,2017-03-31T10,267.1411,302.17188,0.38817787
160,2017-03-17T11,272.41272,284.34375,0.34397888
161,2017-03-17T13,272.474,288.28906,0.36819172
162,2017-04-18T08,265.74536,329.3125,0.41314888
163,2017-04-14T12,264.8142,315.2578,0.38380337
164,2017-04-16T09,267.29016,283.47656,0.2095766
165,2017-04-16T06,263.1364,298.8047,0.28552437
166,2017-04-18T12,269.86877,329.9453,0.40900326
167,2017-04-18T10,268.6576,330.10156,0.41689873
168,2018-03-31T10,267.7024,247.53905,0.2563429
169,2018-03-31T08,264.4519,258.53906,0.30726814
170,2018-03-30T09,267.7008,259.90625,0.29037285
171,2018-03-30T10,268.646,260.01562,0.29031754
172,2018-03-30T12,269.33875,273.4453,0.3339672
173,2018-03-29T11,268.00317,280.35938,0.36596584
174,2018-03-15T12,262.82617,271.46875,0.35237312
175,2018-04-17T11,281.7422,336.95312,0.41838074
176,2018-03-15T11,260.3833,271.39062,0.35237217
177,2018-03-15T10,258.43695,271.32812,0.35237122
178,2018-03-16T11,263.67407,272.6172,0.35282612
179,2018-03-16T10,261.18085,272.54688,0.3528223
180,2018-03-16T13,262.02124,265.42188,0.30121136
181,2018-03-28T13,268.58496,272.90625,0.35671902
182,2018-03-28T10,267.74744,279.77344,0.3776617
183,2018-03-28T14,268.5337,286.0078,0.3985281
184,2018-03-28T08,266.89514,286.35156,0.3960657
185,2018-03-30T14,269.22046,273.75,0.33397007
186,2018-04-02T15,267.28955,295.65625,0.3906412
187,2018-04-02T13,267.82007,295.39844,0.39064407
188,2018-04-02T12,268.61426,297.4453,0.3896637
189,2018-03-23T13,267.35498,289.20312,0.37576008
190,2018-03-23T11,266.19995,289.67188,0.3684044
191,2018-03-23T09,263.9319,289.6875,0.36842155
192,2018-03-23T08,262.52588,288.10938,0.35380077
193,2019-04-03T08,270.7838,240.03905,0.2260313
194,2019-04-05T08,267.98694,270.4453,0.29547215
195,2019-03-11T08,256.99207,200.30467,0.15765858
196,2019-03-11T10,259.1853,202.60936,0.15742111
197,2019-03-11T13,262.1593,172.1328,0.097141266
198,2019-03-05T14,258.7547,216.06248,0.12744236
199,2019-03-05T12,256.8739,219.57811,0.14775372
200,2019-03-05T08,249.95229,218.78123,0.14467907
201,2019-03-05T10,253.91615,218.85936,0.14487076
202,2019-03-07T10,257.94385,221.5703,0.17352486
203,2019-03-15T10,268.95728,197.24217,0.15789509
204,2019-03-15T12,270.40625,198.52342,0.15982056
205,2019-03-26T10,266.9751,239.03123,0.22537518
206,2019-03-26T12,266.51636,239.35155,0.22537422
207,2019-03-26T13,267.6194,238.93748,0.23185539
208,2019-03-26T09,266.9065,236.47655,0.20262337
209,2019-03-16T08,269.0299,202.54686,0.16099167
210,2019-03-17T07,262.69897,203.72655,0.15098
211,2019-04-08T14,268.6018,280.1172,0.29181194
212,2019-04-08T11,268.51233,283.02344,0.30079746
213,2019-04-08T09,266.4685,282.66406,0.30043125
214,2020-02-26T13,263.2611,269.0,0.2656002
215,2020-02-27T11,258.5996,261.85938,0.24433422
216,2020-03-19T06,268.61328,288.67188,0.2762146
217,2020-03-19T05,267.72375,288.53125,0.2763214
218,2020-04-05T04,259.37366,291.1875,0.33650398
219,2020-04-05T05,259.31677,291.28125,0.3355379
220,2020-04-06T06,266.56396,292.09375,0.3338852
221,2020-04-21T04,275.06073,327.1328,0.23820591
222,2020-04-22T04,271.37134,330.2578,0.2547474
223,2020-04-27T08,271.8778,353.17188,0.41111183
224,2020-04-28T04,268.96777,344.8125,0.39751434
225,2020-04-28T08,270.44666,350.64844,0.41375828
226,2020-04-28T06,269.8224,345.03125,0.3994894
227,2020-04-28T12,272.42114,346.57812,0.35325336
228,2020-04-28T11,271.77637,351.17188,0.3631153
229,2020-04-29T03,267.1521,346.73413,0.26023388
230,2020-04-29T04,268.42615,345.91382,0.28544617
231,2020-04-29T05,268.87854,350.91382,0.3460102
232,2020-04-29T09,270.45813,357.60913,0.41713238
233,2020-04-29T10,271.04163,353.29663,0.40761948
234,2020-05-01T05,274.7168,350.87476,0.3470335
235,2020-05-09T04,268.2921,347.85156,0.36093426
236,2020-05-09T06,269.2804,347.03906,0.38446712
237,2020-04-29T07,269.7566,357.656,0.41771603
238,2021-04-12T08,268.4784,249.59373,0.20949745
239,2021-04-12T09,269.58862,236.35936,0.18880177
240,2021-04-12T11,270.81628,236.78123,0.19139099
241,2021-04-17T03,270.4629,234.27342,0.12815475
242,2021-04-17T05,270.68933,251.28905,0.17269516
243,2021-05-03T02,262.27942,313.02344,0.14853668
244,2021-05-03T04,264.44836,299.34375,0.12867069
245,2021-03-10T07,256.4607,222.74217,0.1586771
246,2021-03-10T06,255.59035,232.61717,0.17145061
247,2021-03-15T05,268.3147,247.49217,0.20615387
248,2021-03-16T08,266.55945,233.59373,0.17091084
249,2021-03-16T12,270.08447,214.39842,0.14721775
250,2021-03-18T05,260.3589,237.4453,0.17479706
251,2021-03-18T06,261.55518,258.46094,0.21024704
252,2021-03-18T07,261.2976,237.65623,0.17513561
253,2021-03-18T09,263.77075,237.86717,0.17535877
254,2021-03-26T05,267.57312,275.21094,0.18721771
255,2021-03-26T06,267.8681,285.375,0.20010662
256,2021-03-26T08,272.3883,275.59375,0.18960667
257,2021-03-26T09,273.5575,263.1328,0.1691637
258,2021-03-28T05,270.92474,266.73438,0.1933384
259,2021-03-28T07,270.73572,250.5703,0.18645859
260,2021-04-12T03,266.68445,262.20312,0.22945976
261,2021-04-12T05,266.77344,262.53906,0.22983551
262,2021-04-12T06,267.6361,249.24217,0.20934296
263,2022-01-31T09,258.3542,211.32811,0.119924545
264,2022-02-19T09,261.18677,181.46873,0.12873554
265,2022-02-19T08,260.06592,181.35936,0.12872314
266,2022-03-04T07,261.1631,237.78905,0.19956875
267,2022-03-09T08,268.8672,244.41405,0.20881748
268,2022-03-12T07,268.2881,282.46875,0.30992413
269,2022-03-12T09,270.85986,257.34375,0.2115612
270,2022-03-13T10,270.42822,259.96094,0.19443989
271,2022-03-13T08,266.4944,267.01562,0.20957565
272,2022-03-13T05,264.45898,266.6172,0.21017551
273,2022-03-13T06,262.6819,270.73438,0.21480751
274,2022-03-14T14,273.59485,279.21094,0.28533363
275,2022-03-14T11,272.802,284.1953,0.2983427
276,2022-03-14T09,269.54688,289.41406,0.31015015
277,2022-03-14T08,268.46826,289.29688,0.31014252
278,2022-03-14T06,267.20508,287.60156,0.29185486
279,2022-03-15T10,271.78406,281.75,0.28532314
280,2022-03-15T07,266.47217,265.9297,0.21453285
281,2022-03-15T07,267.83545,244.99998,0.18265057
282,2022-03-15T08,268.64795,281.33594,0.28110504
283,2022-03-16T13,271.00366,289.8047,0.29871845
284,2022-03-16T09,267.26367,242.62498,0.12842464
285,2022-04-15T10,270.9463,249.53123,0.21389866
286,2017-02-21T10,260.74536,286.32812,0.25258923
287,2017-02-26T08,258.74377,262.6875,0.23156738
288,2017-02-26T11,263.7989,262.85938,0.23040962
289,2017-02-26T13,265.4049,271.58594,0.2586813
290,2017-03-04T09,259.69147,207.35155,0.14328575
291,2017-03-04T11,263.56006,200.14061,0.13568115
292,2017-03-04T12,265.33105,200.22655,0.13568401
293,2017-03-04T14,264.61768,244.04686,0.22111607
294,2017-03-05T10,256.41153,245.31248,0.21681976
295,2017-03-05T12,261.7555,258.70312,0.2367382
296,2017-03-06T10,258.86914,213.17186,0.15128899
297,2017-03-06T11,261.39294,213.22655,0.1512928
298,2017-03-06T12,263.02686,202.10936,0.13552094
299,2017-03-17T14,274.17175,230.49998,0.13861561
300,2017-03-17T11,272.8463,261.89062,0.25717068
301,2017-03-17T07,270.09534,261.0625,0.2579937
302,2017-03-31T08,264.60938,301.25,0.37515163
303,2017-03-31T10,267.1411,302.17188,0.38817787
304,2017-03-17T11,272.41272,284.34375,0.34397888
305,2017-03-17T13,272.474,288.28906,0.36819172
306,2017-04-18T08,265.74536,329.3125,0.41314888
307,2017-04-14T12,264.8142,315.2578,0.38380337
308,2017-04-16T09,266.49133,299.0,0.28521633
309,2017-04-16T06,263.1364,298.8047,0.28552437
310,2017-04-18T12,269.86877,329.9453,0.40900326
311,2017-04-18T10,268.6576,330.10156,0.41689873
312,2018-03-31T10,267.7024,247.53905,0.2563429
313,2018-03-31T08,264.4519,258.53906,0.30726814
314,2018-03-30T09,267.7008,259.90625,0.29037285
315,2018-03-30T10,268.646,260.01562,0.29031754
316,2018-03-30T12,269.33875,273.4453,0.3339672
317,2018-03-29T11,267.19263,276.0,0.35393524
318,2018-03-15T12,262.82617,271.46875,0.35237312
319,2018-04-17T11,281.7422,336.95312,0.41838074
320,2018-03-15T11,260.65283,267.90625,0.3382597
321,2018-03-15T10,258.43695,271.32812,0.35237122
322,2018-03-16T11,263.67407,272.6172,0.35282612
323,2018-03-16T10,261.18085,272.54688,0.3528223
324,2018-03-16T13,262.02124,265.42188,0.30121136
325,2018-03-28T13,268.58496,272.90625,0.35671902
326,2018-03-28T10,267.74744,279.77344,0.3776617
327,2018-03-28T14,268.5337,286.0078,0.3985281
328,2018-03-28T08,265.7682,285.0703,0.39909363
329,2018-03-30T14,269.22046,273.75,0.33397007
330,2018-04-02T15,267.28955,295.65625,0.3906412
331,2018-04-02T13,268.57593,297.57812,0.38965988
332,2018-04-02T12,268.61426,297.4453,0.3896637
333,2018-03-23T13,267.66748,289.875,0.36840534
334,2018-03-23T11,266.19995,289.67188,0.3684044
335,2018-03-23T09,264.135,288.2422,0.35379124
336,2018-03-23T08,262.52588,288.10938,0.35380077
337,2019-04-03T08,270.7838,240.03905,0.2260313
338,2019-04-05T08,267.98694,270.4453,0.29547215
339,2019-03-11T08,256.99207,200.30467,0.15765858
340,2019-03-11T10,259.1853,202.60936,0.15742111
341,2019-03-11T13,262.70618,202.91405,0.15741825
342,2019-03-05T14,257.41876,219.05467,0.14487648
343,2019-03-05T12,256.8739,219.57811,0.14775372
344,2019-03-05T08,249.95229,218.78123,0.14467907
345,2019-03-05T10,253.91615,218.85936,0.14487076
346,2019-03-07T10,257.94385,221.5703,0.17352486
347,2019-03-15T10,269.0061,198.06248,0.15976143
348,2019-03-15T12,270.40625,198.52342,0.15982056
349,2019-03-26T10,268.09033,236.6328,0.202878
350,2019-03-26T12,266.51636,239.35155,0.22537422
351,2019-03-26T13,267.6194,238.93748,0.23185539
352,2019-03-26T09,266.9065,236.47655,0.20262337
353,2019-03-16T08,269.0299,202.54686,0.16099167
354,2019-03-17T07,262.75757,207.74217,0.16142082
355,2019-04-08T14,268.6018,280.1172,0.29181194
356,2019-04-08T11,268.51233,283.02344,0.30079746
357,2019-04-08T09,266.4685,282.66406,0.30043125
358,2020-02-26T13,262.474,280.66406,0.32509995
359,2020-02-27T11,260.26562,280.67188,0.32574177
360,2020-03-19T06,268.61328,288.67188,0.2762146
361,2020-03-19T05,267.72375,288.53125,0.2763214
362,2020-04-05T04,259.37366,291.1875,0.33650398
363,2020-04-05T05,259.31677,291.28125,0.3355379
364,2020-04-06T06,267.50342,287.1797,0.2510109
365,2020-04-21T04,275.06073,327.1328,0.23820591
366,2020-04-22T04,271.37915,330.75,0.22653294
367,2020-04-27T08,271.8778,353.17188,0.41111183
368,2020-04-28T04,268.96777,344.8125,0.39751434
369,2020-04-28T08,270.44666,350.64844,0.41375828
370,2020-04-28T06,269.8224,345.03125,0.3994894
371,2020-04-28T12,272.42114,346.57812,0.35325336
372,2020-04-28T11,271.77637,351.17188,0.3631153
373,2020-04-29T03,267.1521,346.73413,0.26023388
374,2020-04-29T04,268.182,346.79663,0.2572708
375,2020-04-29T05,268.87854,350.91382,0.3460102
376,2020-04-29T09,270.45813,357.60913,0.41713238
377,2020-04-29T10,271.04163,353.29663,0.40761948
378,2020-05-01T05,274.7168,350.87476,0.3470335
379,2020-05-09T04,268.2921,347.85156,0.36093426
380,2020-05-09T06,269.2804,347.03906,0.38446712
381,2020-04-29T07,270.18237,350.97632,0.34454632
382,2021-04-12T08,268.4784,249.59373,0.20949745
383,2021-04-12T09,269.58862,236.35936,0.18880177
384,2021-04-12T11,270.81628,236.78123,0.19139099
385,2021-04-17T03,270.4629,234.27342,0.12815475
386,2021-04-17T05,270.68933,251.28905,0.17269516
387,2021-05-03T02,262.27942,313.02344,0.14853668
388,2021-05-03T04,264.44836,299.34375,0.12867069
389,2021-03-10T06,255.60011,222.66405,0.15847969
390,2021-03-15T05,268.3147,247.49217,0.20615387
391,2021-03-16T08,266.42468,213.76561,0.14760017
392,2021-03-16T12,270.08447,214.39842,0.14721775
393,2021-03-18T05,260.3589,237.4453,0.17479706
394,2021-03-18T06,261.55518,258.46094,0.21024704
395,2021-03-18T07,264.0984,249.76561,0.19073677
396,2021-03-18T09,263.77075,237.86717,0.17535877
397,2021-03-26T05,266.82703,285.2578,0.19920826
398,2021-03-26T06,267.8681,285.375,0.20010662
399,2021-03-26T08,272.3883,275.59375,0.18960667
400,2021-03-26T09,273.9618,275.75,0.18961906
401,2021-03-28T05,270.92474,266.73438,0.1933384
402,2021-03-28T07,270.73572,250.5703,0.18645859
403,2021-04-12T03,267.20007,275.0547,0.22408772
404,2021-04-12T05,266.77344,262.53906,0.22983551
405,2021-04-12T06,267.6361,249.24217,0.20934296
406,2022-01-31T09,258.4284,214.73436,0.14311314
407,2022-02-19T09,261.18677,181.46873,0.12873554
408,2022-02-19T08,260.06592,181.35936,0.12872314
409,2022-03-04T07,261.1631,237.78905,0.19956875
410,2022-03-09T08,269.5547,229.9453,0.14254189
411,2022-03-12T07,268.2881,282.46875,0.30992413
412,2022-03-12T09,270.85986,257.34375,0.2115612
413,2022-03-13T10,271.1372,267.1953,0.21067905
414,2022-03-13T08,266.4944,267.01562,0.20957565
415,2022-03-13T05,262.91797,270.59375,0.21493626
416,2022-03-13T06,262.6819,270.73438,0.21480751
417,2022-03-14T14,273.59485,279.21094,0.28533363
418,2022-03-14T11,272.802,284.1953,0.2983427
419,2022-03-14T09,269.54688,289.41406,0.31015015
420,2022-03-14T08,267.9546,287.84375,0.29192257
421,2022-03-14T06,267.20508,287.60156,0.29185486
422,2022-03-15T10,271.78406,281.75,0.28532314
423,2022-03-15T07,266.47217,265.9297,0.21453285
424,2022-03-15T07,267.83545,244.99998,0.18265057
425,2022-03-15T08,268.64795,281.33594,0.28110504
426,2022-03-16T13,271.00366,289.8047,0.29871845
427,2022-03-16T09,267.9082,263.14844,0.20112514
428,2022-04-15T10,270.9463,249.53123,0.21389866
429,2023-03-26T12,262.19165,166.31248,0.07079697
430,2023-03-27T13,263.1372,167.5078,0.06964302
431,2023-03-27T11,260.3127,167.42186,0.07019234
432,2023-03-25T10,264.70752,148.64061,0.007925987
433,2023-03-25T11,266.77173,149.24217,0.0075473785
434,2023-03-11T08,258.92776,132.71092,0.020793915
435,2023-03-11T10,263.61206,134.10155,0.020285606
436,2023-03-07T12,259.1808,138.6953,0.029305458
437,2023-03-25T12,267.9663,149.87498,0.0072755814
438,2023-03-11T11,265.06396,134.35155,0.030883789
439,2023-03-25T13,261.24902,160.7578,0.06512833
440,2023-04-17T11,276.30713,271.625,0.08622646
441,2023-04-13T06,272.69678,226.1328,0.06943703
442,2023-04-13T09,274.1427,233.87498,0.07277393
443,2023-03-12T07,256.47772,145.0703,0.003777504
444,2023-03-12T08,260.5174,150.04686,0.0038776398
445,2023-03-06T11,262.28345,137.27342,0.027602196
446,2023-03-06T13,261.6243,136.28123,0.017495155
447,2023-03-07T11,258.87683,125.35155,0.018426895
448,2023-03-07T09,259.8515,101.812485,0.00056934357
449,2023-03-07T08,258.4262,104.3828,0.00067424774
450,2023-03-06T09,260.3539,135.18748,0.028878212
452,2023-04-17T05,271.77234,267.3203,0.08911991
453,2023-03-26T12,261.7776,161.89842,0.066550255
454,2023-03-27T13,262.8462,163.03123,0.06553459
455,2023-03-27T11,260.3127,167.42186,0.07019234
456,2023-03-25T10,263.48877,149.65623,0.010710716
457,2023-03-25T11,266.77173,149.24217,0.0075473785
458,2023-03-11T08,259.6602,122.906235,0.0040712357
459,2023-03-11T10,263.61206,134.10155,0.020285606
460,2023-03-07T12,259.2472,127.39061,0.028438568
461,2023-03-25T12,262.11084,158.82811,0.050979614
462,2023-03-11T11,265.06396,134.35155,0.030883789
463,2023-03-25T13,261.24902,160.7578,0.06512833
464,2023-04-17T11,276.23486,258.14844,0.06943703
465,2023-04-13T06,272.69678,226.1328,0.06943703
466,2023-04-13T09,274.1427,233.87498,0.07277393
467,2023-03-12T07,256.47772,145.0703,0.003777504
468,2023-03-12T08,260.5174,150.04686,0.0038776398
469,2023-03-06T11,262.28735,135.47655,0.017801285
470,2023-03-06T13,261.6243,136.28123,0.017495155
471,2023-03-07T11,258.87683,125.35155,0.018426895
472,2023-03-07T09,259.6933,103.624985,0.0006952286
473,2023-03-07T08,258.4262,104.3828,0.00067424774
474,2023-03-06T09,262.3539,127.5078,0.0015916824
475,2023-04-17T05,271.77234,267.3203,0.08911991
476,2023-03-26T12,261.7776,161.89842,0.066550255
477,2023-03-27T13,262.8462,163.03123,0.06553459
478,2023-03-27T11,260.3127,167.42186,0.07019234
479,2023-03-25T10,263.48877,149.65623,0.010710716
480,2023-03-25T11,265.7307,149.90623,0.010362625
481,2023-03-11T08,258.92776,132.71092,0.020793915
482,2023-03-11T10,263.61206,134.10155,0.020285606
483,2023-03-07T12,259.2472,127.39061,0.028438568
484,2023-03-25T12,262.11084,158.82811,0.050979614
485,2023-03-11T11,265.06396,134.35155,0.030883789
486,2023-03-25T13,262.58105,158.8828,0.050807953
487,2023-04-17T11,276.23486,258.14844,0.06943703
488,2023-04-13T06,272.69678,226.1328,0.06943703
489,2023-04-13T09,274.1427,233.87498,0.07277393
490,2023-03-12T07,256.8449,150.04686,0.0038557053
491,2023-03-12T08,260.5174,150.04686,0.0038776398
492,2023-03-06T11,262.28735,135.47655,0.017801285
493,2023-03-06T13,261.6243,136.28123,0.017495155
494,2023-03-07T11,261.15808,99.999985,0.00086021423
495,2023-03-07T09,259.6933,103.624985,0.0006952286
496,2023-03-07T08,258.4262,104.3828,0.00067424774
497,2023-03-06T09,260.3539,135.18748,0.028878212
498,2023-04-17T05,271.77234,267.3203,0.08911991
