ID,ERA5_time,t2m,skt,rsn,sd,tsn,tcsw
0,2017-02-21T10,260.74536,259.26196,286.32812,0.25258923,260.06067,0.010253906
1,2017-02-26T08,258.74377,258.1875,262.6875,0.23156738,260.4225,0.0
2,2017-02-26T11,263.69727,261.6726,271.4375,0.25866985,262.14868,0.0014648438
3,2017-02-26T13,265.0475,261.48755,286.02344,0.3020029,262.9746,0.018554688
4,2017-03-04T09,260.33405,255.52571,243.66405,0.21954536,257.12427,0.0
5,2017-03-04T11,262.57544,258.01764,207.49998,0.14423943,257.85693,0.0
6,2017-03-04T12,265.3308,259.523,200.22655,0.13568401,259.14502,0.0
7,2017-03-04T14,264.61768,254.85553,244.04686,0.22111607,258.99048,0.0
8,2017-03-05T10,256.41153,253.66,245.31248,0.21681976,252.96333,0.0
9,2017-03-05T12,261.75537,255.95021,258.70312,0.2367382,256.07404,0.0
10,2017-03-06T10,260.05673,254.17058,221.60155,0.16244411,252.14478,0.0
11,2017-03-06T11,261.46704,255.11674,221.64842,0.16244793,253.3721,0.0
12,2017-03-06T12,262.82373,255.78297,213.28905,0.15129662,254.98508,0.0
13,2017-03-17T14,274.17175,272.55444,230.49998,0.13861561,272.06,0.045410156
14,2017-03-17T11,273.25452,271.57983,239.08592,0.1724968,271.26147,0.06347656
15,2017-03-17T07,270.7378,269.8368,279.89062,0.32116032,272.3896,0.0087890625
16,2017-03-31T08,264.33203,262.54395,301.96875,0.3878765,263.68628,0.0
17,2017-03-31T10,267.1411,265.0332,302.17188,0.38817787,264.6643,0.0
18,2017-03-17T11,272.41272,271.15796,284.34375,0.34397888,272.5232,0.048828125
19,2017-03-17T13,272.474,271.20068,288.28906,0.36819172,272.5805,0.072265625
20,2017-04-18T08,266.1985,268.02588,329.875,0.41579056,266.56836,0.0
21,2017-04-14T12,265.07983,266.26025,318.02344,0.40106106,266.67358,0.025390625
22,2017-04-16T09,266.49133,265.44006,299.0,0.28521633,263.70825,0.009765625
23,2017-04-16T06,262.92554,261.2129,303.0547,0.30612087,264.22485,0.0
24,2017-04-18T12,269.86865,269.75293,329.9453,0.40900326,266.6748,0.0
25,2018-03-31T10,267.7024,266.64722,247.53905,0.2563429,266.344,0.0024414062
26,2018-03-31T08,264.4519,263.84888,258.53906,0.30726814,262.96167,0.00048828125
27,2018-03-30T09,267.97437,266.59692,244.21873,0.2515993,266.594,0.0029296875
28,2018-03-30T10,268.646,266.1548,260.01562,0.29031754,266.3191,0.00048828125
29,2018-03-30T12,269.33887,265.70093,273.4453,0.3339672,266.2212,0.0
30,2018-03-29T11,267.19263,265.17798,276.0,0.35393524,263.18872,0.0043945312
31,2018-03-15T12,261.95703,256.2962,263.82812,0.2991438,256.81384,0.0
32,2018-04-17T11,281.16406,275.11768,326.15625,0.37649536,272.42816,0.0
33,2018-03-15T11,260.38306,255.9516,271.39062,0.35237217,256.12018,0.0
34,2018-03-15T10,258.43695,255.48274,271.32812,0.35237122,255.57364,0.0
35,2018-03-16T11,263.2229,256.2754,269.6328,0.33922005,254.72064,0.0
36,2018-03-16T10,261.18085,255.8645,272.54688,0.3528223,253.79897,0.0
37,2018-03-16T13,262.18115,253.54726,255.41405,0.2654667,254.31117,0.0
38,2018-03-28T13,268.58496,264.22314,272.90625,0.35671902,265.81567,0.0
39,2018-03-28T10,267.9192,264.47705,266.78125,0.33466053,265.9348,0.0
40,2018-03-28T14,268.5337,263.69678,286.0078,0.3985281,266.09546,0.0
41,2018-03-28T08,265.76807,264.55518,285.0703,0.39909363,264.8506,0.0
42,2018-03-30T14,269.22046,264.3352,273.75,0.33397007,266.09937,0.00048828125
43,2018-04-02T15,267.55127,262.07373,282.96875,0.34623623,265.77026,0.0
44,2018-04-02T13,267.82007,264.76367,295.39844,0.39064407,265.07593,0.0
45,2018-04-02T12,269.54395,266.91333,303.39844,0.41545677,265.4995,0.0
46,2018-03-23T13,267.35498,265.16748,289.20312,0.37576008,264.1394,0.061523438
47,2018-03-23T11,266.0183,264.9607,289.0,0.37575722,263.583,0.0107421875
48,2018-03-23T09,263.9319,264.46167,289.6875,0.36842155,263.47607,0.0063476562
49,2018-03-23T08,262.52588,264.19214,288.10938,0.35380077,262.3296,0.006591797
50,2019-04-03T08,270.7837,269.76123,240.03905,0.2260313,271.5923,0.0063476562
51,2019-04-05T08,267.98706,267.32056,270.4453,0.29547215,271.4121,0.0
52,2019-03-11T08,256.99207,254.44684,200.30467,0.15765858,257.10114,0.0
53,2019-03-11T10,259.1853,256.04733,202.60936,0.15742111,257.95178,0.0
54,2019-03-11T13,262.70605,256.0182,202.91405,0.15741825,258.87207,0.0
55,2019-03-05T14,257.41876,251.13454,219.05467,0.14487648,254.1088,0.0
56,2019-03-05T12,256.66882,249.57884,212.02342,0.1373043,251.521,0.0
57,2019-03-05T08,249.95229,249.28558,218.78123,0.14467907,251.73804,0.0
58,2019-03-05T10,253.1642,250.77335,219.48436,0.14775085,252.08282,0.0
59,2019-03-07T10,257.87744,257.27905,220.81248,0.1776638,255.65532,0.00048828125
60,2019-03-15T10,268.95728,268.44385,197.24217,0.15789509,267.73145,0.04345703
61,2019-03-15T12,270.40625,269.46704,198.52342,0.15982056,268.29187,0.013183594
62,2019-03-26T10,266.9751,262.68164,239.03123,0.22537518,265.7921,0.0017089844
63,2019-03-26T12,266.71948,263.29834,238.76561,0.23185539,266.02112,0.00048828125
64,2019-03-26T13,267.6194,262.7495,238.93748,0.23185539,265.8296,0.00048828125
65,2019-03-26T09,267.94556,264.7666,228.42186,0.1692133,266.45728,0.0
66,2019-03-16T08,268.93616,267.281,198.64061,0.1508894,268.3529,0.0029296875
67,2019-03-17T07,262.69897,262.75464,203.72655,0.15098,264.20166,0.0034179688
68,2019-04-08T14,268.6018,266.79736,280.1172,0.29181194,268.54785,0.0
69,2019-04-08T11,268.51245,268.90894,283.02344,0.30079746,269.552,0.00048828125
70,2019-04-08T09,267.12866,269.22632,285.16406,0.30400753,269.80835,0.0
71,2020-02-26T13,262.47412,255.81735,280.66406,0.32509995,260.38013,0.0
72,2020-02-27T11,260.26562,254.57529,280.67188,0.32574177,255.45753,0.0
73,2020-03-19T06,268.30664,266.93262,283.04688,0.27637577,269.55872,0.0126953125
74,2020-03-19T05,267.72375,267.64258,288.53125,0.2763214,269.96948,0.017578125
75,2020-04-05T04,259.50073,258.71548,284.48438,0.32833385,263.45337,0.0063476562
76,2020-04-05T05,259.31665,258.42987,291.28125,0.3355379,262.9973,0.0009765625
77,2020-04-06T06,266.56396,265.989,292.09375,0.3338852,265.61353,0.013671875
78,2020-04-21T04,275.0608,272.65906,327.1328,0.23820591,272.995,0.0
79,2020-04-22T04,271.37134,271.07886,330.2578,0.2547474,272.60913,0.0
80,2020-04-27T08,272.20398,272.63135,346.70312,0.39965248,272.70428,0.0078125
81,2020-04-28T04,268.98535,266.1311,342.21875,0.38743877,271.97412,0.00048828125
82,2020-04-28T08,270.44666,271.83777,350.64844,0.41375828,272.32715,0.016601562
83,2020-04-28T06,269.8224,269.82373,345.03125,0.3994894,272.7157,0.00390625
84,2020-04-28T12,272.3977,272.84424,346.6875,0.3630743,272.58057,0.018554688
85,2020-04-28T11,271.77637,272.16772,351.17188,0.3631153,271.75037,0.016601562
86,2020-04-29T03,267.60913,265.02893,345.84375,0.28845787,270.8484,0.001953125
87,2020-04-29T04,268.42615,265.84705,345.91406,0.28544617,270.6211,0.00048828125
88,2020-04-29T05,269.17737,267.19507,345.97656,0.2838602,270.6078,0.0012207031
89,2020-04-29T09,270.78052,271.8977,353.21094,0.40546608,272.5758,0.019042969
90,2020-04-29T10,271.0415,271.6565,353.29688,0.40761948,272.9707,0.018554688
94,2020-04-29T07,269.7566,269.56055,357.65625,0.41771603,272.85315,0.014160156
95,2021-04-12T08,268.4784,266.15967,249.59373,0.20949745,268.95215,0.0
96,2021-04-12T09,269.58862,266.53784,236.35936,0.18880177,269.3817,0.0
97,2021-04-12T11,271.22253,268.87805,229.09373,0.17906761,270.03833,0.00048828125
98,2021-04-17T03,270.4629,263.15283,234.27342,0.12815475,270.29907,0.0
99,2021-04-17T05,270.68933,266.4829,251.28905,0.17269516,271.35352,0.0
102,2021-03-10T06,255.60011,256.2903,222.66405,0.15847969,258.53033,0.00048828125
103,2021-03-15T05,268.3147,267.83423,247.49217,0.20615387,268.99097,0.0014648438
104,2021-03-16T08,266.42468,266.47803,213.76561,0.14760017,266.55347,0.0014648438
105,2021-03-16T12,269.77197,267.49414,195.53123,0.1180048,267.46082,0.0
106,2021-03-18T05,260.3589,260.05566,237.4453,0.17479706,263.64673,0.00024414062
107,2021-03-18T06,261.6372,262.09473,249.67967,0.19046211,264.8933,0.0014648438
108,2021-03-18T07,261.2976,261.6223,237.65623,0.17513561,263.5935,0.001953125
109,2021-03-18T09,263.6809,263.239,218.60155,0.1455059,263.92358,0.00048828125
110,2021-03-26T05,267.573,266.64624,275.21094,0.18721771,269.01477,0.0
111,2021-03-26T06,267.86816,268.86768,285.375,0.20010662,268.55933,0.0
112,2021-03-26T08,272.24182,271.06934,262.96875,0.16915798,270.7439,0.0
113,2021-03-26T09,273.5575,272.1084,263.1328,0.1691637,271.59814,0.0
114,2021-03-28T05,270.72754,268.4585,268.33594,0.1660595,272.65088,0.0
115,2021-03-28T07,270.75916,268.90967,234.68748,0.16303444,271.87,0.0
116,2021-04-12T03,266.68457,260.80713,262.20312,0.22945976,268.74756,0.0
117,2021-04-12T05,266.91992,261.88745,249.0703,0.20927429,268.52124,0.0
118,2021-04-12T06,267.6361,263.21216,249.24217,0.20934296,268.6167,0.0
119,2022-01-31T09,258.4284,258.05725,214.73436,0.14311314,260.2997,0.0
120,2022-02-19T09,260.53442,259.04395,175.56248,0.12020874,259.27197,0.018066406
121,2022-02-19T08,260.0658,258.79517,181.35936,0.12872314,259.8794,0.021484375
122,2022-03-04T07,260.99316,262.93652,229.60155,0.19402409,264.01797,0.0073242188
123,2022-03-09T08,268.8672,269.13184,244.41405,0.20881748,270.31067,0.0
124,2022-03-12T07,268.44238,264.95996,276.4375,0.29577637,268.93213,0.0
125,2022-03-12T09,270.85986,268.72217,257.34375,0.2115612,268.3728,0.0
126,2022-03-13T10,270.42822,267.9546,259.96094,0.19443989,265.62573,0.0
127,2022-03-13T08,266.47485,266.19507,259.78125,0.19301891,264.70703,0.0
128,2022-03-13T05,264.45898,263.77588,266.6172,0.21017551,265.2893,0.0
129,2022-03-13T06,262.6819,265.10547,270.73438,0.21480751,265.36768,0.0
130,2022-03-14T14,273.59497,266.64722,279.21094,0.28533363,268.2024,0.0009765625
131,2022-03-14T11,272.802,267.37964,284.1953,0.2983427,266.18945,0.00048828125
132,2022-03-14T09,269.5879,265.86108,283.98438,0.29690552,265.46655,0.0
133,2022-03-14T08,268.46826,263.60474,289.29688,0.31014252,264.06396,0.0
134,2022-03-14T06,264.61914,263.44336,262.4453,0.1948986,263.49072,0.005859375
135,2022-03-15T10,272.2627,269.2605,281.60156,0.28155327,266.65234,0.0
136,2022-03-15T07,266.47217,262.13135,265.9297,0.21453285,261.96826,0.0
137,2022-03-15T07,267.83545,260.3794,244.99998,0.18265057,261.07764,0.0
138,2022-03-15T08,268.64795,266.1809,281.33594,0.28110504,265.85547,0.0
139,2022-03-16T13,271.00366,265.65942,289.8047,0.29871845,265.29614,0.0
140,2022-03-16T09,267.9082,265.5808,263.14844,0.20112514,263.64966,0.0
141,2022-04-15T10,270.56152,267.98926,244.39842,0.19224739,266.79077,0.0
142,2017-02-21T10,259.63403,258.1858,255.24217,0.15853405,257.66418,0.0053710938
143,2017-02-26T08,258.74377,258.1875,262.6875,0.23156738,260.4225,0.0
144,2017-02-26T11,263.79883,261.49292,262.85938,0.23040962,261.6819,0.0014648438
145,2017-02-26T13,265.4049,261.9485,271.58594,0.2586813,262.9414,0.0078125
146,2017-03-04T09,260.33405,255.52571,243.66405,0.21954536,257.12427,0.0
147,2017-03-04T11,263.5598,258.97272,200.14061,0.13568115,258.47803,0.0
148,2017-03-04T12,265.3308,259.523,200.22655,0.13568401,259.14502,0.0
149,2017-03-04T14,263.6997,256.0606,218.73436,0.16858768,259.64282,0.0
150,2017-03-05T10,256.41153,253.66,245.31248,0.21681976,252.96333,0.0
151,2017-03-05T12,261.75537,255.95021,258.70312,0.2367382,256.07404,0.0
152,2017-03-06T10,260.05673,254.17058,221.60155,0.16244411,252.14478,0.0
153,2017-03-06T11,261.39282,255.56206,213.22655,0.1512928,253.57523,0.0
154,2017-03-06T12,262.82373,255.78297,213.28905,0.15129662,254.98508,0.0
155,2017-03-17T14,274.17175,272.55444,230.49998,0.13861561,272.06,0.045410156
156,2017-03-17T11,272.8463,271.28296,261.89062,0.25717068,271.9939,0.060058594
157,2017-03-17T07,270.7378,269.8368,279.89062,0.32116032,272.3896,0.0087890625
158,2017-03-31T08,264.60938,262.9756,301.25,0.37515163,263.63745,0.0
159,2017-03-31T10,267.1411,265.0332,302.17188,0.38817787,264.6643,0.0
160,2017-03-17T11,272.41272,271.15796,284.34375,0.34397888,272.5232,0.048828125
161,2017-03-17T13,272.474,271.20068,288.28906,0.36819172,272.5805,0.072265625
162,2017-04-18T08,265.74536,267.0337,329.3125,0.41314888,265.51758,0.0
163,2017-04-14T12,264.8142,265.49072,315.2578,0.38380337,265.41382,0.03125
164,2017-04-16T09,267.29016,266.0807,283.47656,0.2095766,263.92896,0.010253906
165,2017-04-16T06,263.13647,260.60742,298.8047,0.28552437,263.54517,0.0
166,2017-04-18T12,269.86865,269.75293,329.9453,0.40900326,266.6748,0.0
167,2017-04-18T10,268.6577,270.0581,330.10156,0.41689873,267.46094,0.0
168,2018-03-31T10,267.7024,266.64722,247.53905,0.2563429,266.344,0.0024414062
169,2018-03-31T08,264.4519,263.84888,258.53906,0.30726814,262.96167,0.00048828125
170,2018-03-30T09,267.70093,266.2473,259.90625,0.29037285,266.0686,0.00048828125
171,2018-03-30T10,268.646,266.1548,260.01562,0.29031754,266.3191,0.00048828125
172,2018-03-30T12,269.33887,265.70093,273.4453,0.3339672,266.2212,0.0
173,2018-03-29T11,268.00317,265.4983,280.35938,0.36596584,262.89575,0.0024414062
174,2018-03-15T12,262.82617,255.9329,271.46875,0.35237312,256.78064,0.0
175,2018-04-17T11,281.7422,275.58643,336.95312,0.41838074,272.143,0.0
176,2018-03-15T11,260.38306,255.9516,271.39062,0.35237217,256.12018,0.0
177,2018-03-15T10,258.43695,255.48274,271.32812,0.35237122,255.57364,0.0
178,2018-03-16T11,263.67407,256.91797,272.6172,0.35282612,255.12299,0.0
179,2018-03-16T10,261.18085,255.8645,272.54688,0.3528223,253.79897,0.0
180,2018-03-16T13,262.021,254.7953,265.42188,0.30121136,255.3561,0.0
181,2018-03-28T13,268.58496,264.22314,272.90625,0.35671902,265.81567,0.0
182,2018-03-28T10,267.7473,264.50635,279.77344,0.3776617,265.96606,0.0
183,2018-03-28T14,268.5337,263.69678,286.0078,0.3985281,266.09546,0.0
184,2018-03-28T08,266.89502,265.10205,286.35156,0.3960657,265.78027,0.0
185,2018-03-30T14,269.22046,264.3352,273.75,0.33397007,266.09937,0.00048828125
186,2018-04-02T15,267.28955,261.88428,295.65625,0.3906412,265.1726,0.0
187,2018-04-02T13,267.82007,264.76367,295.39844,0.39064407,265.07593,0.0
188,2018-04-02T12,268.61426,266.19067,297.4453,0.3896637,265.7749,0.0
189,2018-03-23T13,267.35498,265.16748,289.20312,0.37576008,264.1394,0.061523438
190,2018-03-23T11,266.19995,265.13647,289.67188,0.3684044,263.4912,0.0078125
191,2018-03-23T09,263.9319,264.46167,289.6875,0.36842155,263.47607,0.0063476562
192,2018-03-23T08,262.52588,264.19214,288.10938,0.35380077,262.3296,0.006591797
193,2019-04-03T08,270.7837,269.76123,240.03905,0.2260313,271.5923,0.0063476562
194,2019-04-05T08,267.98706,267.32056,270.4453,0.29547215,271.4121,0.0
195,2019-03-11T08,256.99207,254.44684,200.30467,0.15765858,257.10114,0.0
196,2019-03-11T10,259.1853,256.04733,202.60936,0.15742111,257.95178,0.0
197,2019-03-11T13,262.15918,257.27014,172.1328,0.097141266,258.55176,0.0
198,2019-03-05T14,258.7547,253.1072,216.06248,0.12744236,255.42715,0.0
199,2019-03-05T12,256.8739,251.65501,219.57811,0.14775372,253.10693,0.0
200,2019-03-05T08,249.95229,249.28558,218.78123,0.14467907,251.73804,0.0
201,2019-03-05T10,253.91615,251.11319,218.85936,0.14487076,252.07697,0.0
202,2019-03-07T10,257.94385,257.2556,221.5703,0.17352486,255.4229,0.00048828125
203,2019-03-15T10,268.95728,268.44385,197.24217,0.15789509,267.73145,0.04345703
204,2019-03-15T12,270.40625,269.46704,198.52342,0.15982056,268.29187,0.013183594
205,2019-03-26T10,266.9751,262.68164,239.03123,0.22537518,265.7921,0.0017089844
206,2019-03-26T12,266.51636,262.43506,239.35155,0.22537422,265.33752,0.00048828125
207,2019-03-26T13,267.6194,262.7495,238.93748,0.23185539,265.8296,0.00048828125
208,2019-03-26T09,266.9065,263.11035,236.47655,0.20262337,266.09595,0.0
209,2019-03-16T08,269.0299,267.7478,202.54686,0.16099167,268.5619,0.00390625
210,2019-03-17T07,262.69897,262.75464,203.72655,0.15098,264.20166,0.0034179688
211,2019-04-08T14,268.6018,266.79736,280.1172,0.29181194,268.54785,0.0
212,2019-04-08T11,268.51245,268.90894,283.02344,0.30079746,269.552,0.00048828125
213,2019-04-08T09,266.4685,268.32007,282.66406,0.30043125,269.51733,0.0
214,2020-02-26T13,263.26123,257.11618,269.0,0.2656002,260.7473,0.0
215,2020-02-27T11,258.5996,254.40536,261.85938,0.24433422,253.88332,0.0
216,2020-03-19T06,268.61328,267.7705,288.67188,0.2762146,270.11145,0.020019531
217,2020-03-19T05,267.72375,267.64258,288.53125,0.2763214,269.96948,0.017578125
218,2020-04-05T04,259.37378,258.71548,291.1875,0.33650398,263.11157,0.0034179688
219,2020-04-05T05,259.31665,258.42987,291.28125,0.3355379,262.9973,0.0009765625
220,2020-04-06T06,266.56396,265.989,292.09375,0.3338852,265.61353,0.013671875
221,2020-04-21T04,275.0608,272.65906,327.1328,0.23820591,272.995,0.0
222,2020-04-22T04,271.37134,271.07886,330.2578,0.2547474,272.60913,0.0
223,2020-04-27T08,271.8778,272.45557,353.17188,0.41111183,272.72968,0.010253906
224,2020-04-28T04,268.96777,266.2893,344.8125,0.39751434,271.90186,0.0009765625
225,2020-04-28T08,270.44666,271.83777,350.64844,0.41375828,272.32715,0.016601562
226,2020-04-28T06,269.8224,269.82373,345.03125,0.3994894,272.7157,0.00390625
227,2020-04-28T12,272.42114,272.16846,346.57812,0.35325336,272.02393,0.029296875
228,2020-04-28T11,271.77637,272.16772,351.17188,0.3631153,271.75037,0.016601562
229,2020-04-29T03,267.1521,264.5973,346.73438,0.26023388,270.40308,0.001953125
230,2020-04-29T04,268.42615,265.84705,345.91406,0.28544617,270.6211,0.00048828125
231,2020-04-29T05,268.87854,266.94116,350.91406,0.3460102,271.68787,0.0009765625
232,2020-04-29T09,270.45825,271.43677,357.60938,0.41713238,272.7047,0.016601562
233,2020-04-29T10,271.0415,271.6565,353.29688,0.40761948,272.9707,0.018554688
237,2020-04-29T07,269.7566,269.56055,357.65625,0.41771603,272.85315,0.014160156
238,2021-04-12T08,268.4784,266.15967,249.59373,0.20949745,268.95215,0.0
239,2021-04-12T09,269.58862,266.53784,236.35936,0.18880177,269.3817,0.0
240,2021-04-12T11,270.81628,268.4054,236.78123,0.19139099,269.7434,0.00048828125
241,2021-04-17T03,270.4629,263.15283,234.27342,0.12815475,270.29907,0.0
242,2021-04-17T05,270.68933,266.4829,251.28905,0.17269516,271.35352,0.0
245,2021-03-10T07,256.4607,256.73483,222.74217,0.1586771,258.54504,0.0
246,2021-03-10T06,255.59035,256.7864,232.61717,0.17145061,258.6104,0.00048828125
247,2021-03-15T05,268.3147,267.83423,247.49217,0.20615387,268.99097,0.0014648438
248,2021-03-16T08,266.55945,267.06982,233.59373,0.17091084,266.84058,0.00048828125
249,2021-03-16T12,270.08447,267.9082,214.39842,0.14721775,268.0702,0.00048828125
250,2021-03-18T05,260.3589,260.05566,237.4453,0.17479706,263.64673,0.00024414062
