ERA5,BS_cub,BS_near,
2.138669968,2.125390053,2.154979944,
2.176759958,2.041690111,2.034980059,
2.228519917,1.738989949,1.749340057,
2.232419968,1.98763001,1.993059993,
2.184570074,2.10529995,2.108880043,
2.151370049,1.969040036,1.96776998,
2.026370049,2.228849888,2.207809925,
2.066410065,1.965800047,1.951670051,
2.065429926,1.778079987,1.738209963,
2.050780058,1.954640031,1.98506999,
2.02538991,2.077500105,2.200299978,
1.822270036,2.457010031,2.485450029,
1.865229964,2.18659997,2.186719894,
1.900390029,1.746770024,1.764539957,
1.910159945,1.812100053,1.809149981,
2.050780058,2.053459883,2.096159935,
2.0009799,2.132639885,2.129509926,
1.822270036,2.143949986,2.146830082,
1.885740042,1.913660049,1.909600019,
1.900390029,1.864490032,1.767689943,
1.902340055,1.915519953,1.953789949,
1.90625,1.953699946,1.867149949,
1.9375,1.69698,1.631690025,
1.793949962,2.182159901,2.209209919,
1.863280058,2.176019907,2.180119991,
1.885740042,2.12883997,2.125,
1.930660009,2.010230064,2.023299932,
1.959959984,2.015929937,2.028670073,
2.048830032,2.418790102,2.414530039,
1.863280058,2.186019897,2.204390049,
1.885740042,1.889770031,1.902060032,
1.930660009,2.0255301,2.013050079,
1.959959984,2.307229996,2.20133996,
2.048830032,2.278429985,2.297060013,
1.903319955,2.408930063,2.40970993,
1.963870049,2.138279915,2.152610064,
2.075200081,2.650000095,2.628129959,
2.126950026,2.344619989,2.337830067,
2.228519917,2.356630087,2.357520103,
1.948240042,2.182699919,2.190560102,
2.041019917,2.059849977,2.041429996,
2.202150106,2.039789915,2.063149929,
2.279299974,2.268970013,2.2411201,
1.948240042,2.365499973,2.423110008,
2.041019917,1.862750053,1.861310005,
2.202150106,1.971680045,1.912240028,
2.279299974,1.900939941,1.931380033,
2.033200026,2.17918992,2.235249996,
1.990229964,2.019690037,2.018249989,
1.947270036,2.322710037,2.33716011,
1.923830032,2.073940039,2.068010092,
1.852540016,2.066109896,2.047169924,
1.785159945,1.960729957,1.965800047,
1.642580032,2.085799932,2.112129927,
1.506839991,2.138030052,2.137880087,
1.505859971,1.869889975,1.859940052,
2.008790016,1.815670013,1.803470016,
2.015619993,1.92343998,1.914510012,
2.012700081,1.976519942,2.066009998,
2.006839991,2.068540096,2.046950102,
1.910159945,2.055860043,2.026619911,
1.783200026,1.980559945,1.952119946,
1.714840055,2.084840059,2.1057899,
1.611330032,2.067130089,2.01079011,
1.575199962,1.924070001,1.915249944,
2.008790016,1.959669948,1.957690001,
2.019530058,1.970530033,1.966670036,
2.012700081,2.798820019,3.272500038,
1.960940003,1.877570033,1.868549943,
1.910159945,1.923230052,1.912099957,
1.783200026,2.151119947,2.151230097,
1.714840055,8.279569626,8.603859901,
1.611330032,2.174279928,2.173460007,
1.575199962,1.907789946,1.930490017,
1.984380007,2.18204999,2.219409943,
2.089839935,2.275670052,2.267980099,
2.110349894,2.452929974,2.997270107,
2.112299919,2.120179892,1.941740036,
2.044919968,1.470129967,1.372849941,
1.897459984,1.903849959,1.903920054,
1.820309997,2.490849972,2.501270056,
1.706050038,2.019959927,2.039949894,
1.667969942,1.941460013,2.002959967,
2.111330032,2.018620014,2.017240047,
2.2177701,2.45559001,2.451610088,
2.263669968,2.304120064,2.294090033,
2.232419968,2.098750114,2.095609903,
2.182620049,1.868049979,1.839550018,
2.027339935,1.951249957,1.967519999,
1.954100013,2.017110109,2.036390066,
1.834959984,1.644320011,1.62808001,
1.815430045,1.944569945,1.926290035,
2.111330032,2.134749889,1.963119984,
2.2177701,2.293649912,2.283529997,
2.263669968,2.306940079,2.288429976,
2.232419968,2.055340052,2.046380043,
2.182620049,2.082669973,2.06592989,
2.027339935,2.180239916,2.169490099,
1.954100013,1.889719963,1.892160058,
1.834959984,2.152909994,2.123490095,
1.815430045,2.046789885,2.018599987,
2.28125,2.221470118,2.219219923,
2.355469942,2.031100035,2.0353899,
2.383790016,2.170870066,2.174710035,
2.333980083,2.019249916,2.008349895,
2.284179926,2.039969921,2.046070099,
2.158200026,2.005089998,2.003309965,
2.104490042,1.897989988,1.891980052,
2.003910065,2.038520098,1.941419959,
1.988280058,1.805729985,1.795480013,
-9999,2.173919916,2.130429983,
-9999,1.960620046,1.965720057,
-9999,1.868440032,1.859400034,
2.340820074,1.836480021,1.795300007,
2.2802701,2.049439907,2.061579943,
1.515619993,1.936929941,1.952409983,
1.528319955,1.742499948,1.737969995,
1.576169968,1.758749962,1.72803998,
1.634770036,1.906180024,1.90068996,
1.785159945,1.846330047,1.824390054,
1.871090055,1.52797997,1.525020003,
2.029299974,1.651440024,1.652510047,
2.107419968,1.678940058,1.678930044,
2.237299919,1.719259977,1.716339946,
1.553709984,1.885499954,1.904299974,
1.548830032,1.966719985,1.997449994,
1.566409945,1.917219996,1.952610016,
1.643550038,1.730280042,1.769080043,
1.802729964,2.082109928,1.988899946,
1.885740042,1.77323997,1.813809991,
2.051759958,1.770529985,1.776119947,
2.135740042,1.777510047,1.784669995,
2.267580032,1.34958005,1.425390005,
1.553709984,1.86796999,1.839210033,
1.548830032,1.66099,1.674139977,
1.566409945,1.922180057,1.892169952,
1.643550038,1.876109958,1.86503005,
1.802729964,1.78271997,1.732300043,
1.885740042,1.79121995,1.791810036,
2.051759958,1.859079957,1.879150033,
2.135740042,1.813159943,1.812770009,
2.267580032,1.621780038,1.586490035,
1.616209984,2.020740032,1.966339946,
1.59375,2.427759886,2.365829945,
1.59473002,1.816499949,1.834089994,
1.648440003,1.563320041,1.65199995,
1.803709984,1.859019995,1.872789979,
1.882809997,2.096760035,2.078560114,
2.0322299,1.844449997,1.838600039,
2.111330032,1.671560049,1.690510035,
2.230469942,1.196650028,1.196249962,
1.773440003,1.94678998,1.942579985,
1.752930045,2.146759987,2.163719893,
1.774410009,2.001889944,2.017250061,
1.801759958,1.694669962,1.704380035,
1.932620049,1.873839974,1.86796999,
1.997069955,1.955320001,1.985159993,
2.122070074,1.670160055,1.71942997,
2.208009958,1.789800048,1.802039981,
2.396480083,2.003180027,2.063420057,
1.773440003,1.927670002,1.916689992,
1.752930045,1.791149974,1.795760036,
1.774410009,1.876410007,1.917369962,
1.801759958,1.832229972,1.856940031,
1.932620049,2.180449963,2.211990118,
1.997069955,1.803089976,1.761409998,
2.122070074,1.80787003,1.817319989,
2.208009958,1.763280034,1.751739979,
1.994140029,1.968619943,1.957849979,
2.007810116,1.963310003,1.970399976,
2.053709984,1.767869949,1.772109985,
2.303709984,1.842190027,1.842229962,
2.348629951,1.706050038,1.713969946,
2.373049974,2.124119997,2.098439932,
2.401370049,1.72318995,1.683320045,
2.334959984,1.577110052,1.572659969,
2.195310116,1.720340014,1.757640004,
1.838870049,2.017719984,2.018079996,
2.332030058,1.833160043,1.831290007,
2.471679926,1.634639978,1.577700019,
2.490230083,1.910109997,1.911280036,
2.447269917,1.699249983,1.67595005,
2.345700026,1.746209979,1.738150001,
2.200200081,1.228440046,1.150990009,
2.332030058,1.567260027,1.565879941,
2.471679926,1.580320001,1.493379951,
2.490230083,2.121870041,2.124550104,
2.447269917,1.345460057,1.390179992,
2.345700026,1.41644001,1.40474999,
2.200200081,1.609660029,1.60781002,
2.330080032,1.496940017,1.516469955,
2.550780058,1.849910021,1.836760044,
2.601560116,1.986619949,2.034389973,
2.419919968,2.18166995,2.227790117,
2.266599894,2.721250057,2.662260056,
1.928709984,1.708580017,1.711930037,
1.647459984,1.514799953,1.533349991,
1.206050038,1.661299944,1.653789997,
2.479490042,1.59473002,1.595790029,
2.506839991,1.986510038,1.932209969,
2.4072299,1.687919974,1.703040004,
2.102540016,2.181390047,2.238679886,
2.96288991,4.391689777,4.606060028,
2.859380007,1.521749973,1.564499974,
2.8134799,1.566879988,1.485509992,
2.769530058,2.160820007,2.167900085,
2.606450081,1.961330056,1.944599986,
2.454099894,1.871209979,1.861879945,
2.197269917,2.066600084,2.074340105,
2.859380007,1.394490004,1.400959969,
2.8134799,1.761710048,1.77620995,
2.731450081,1.827250004,1.817980051,
2.5947299,2.240020037,2.240210056,
2.445310116,1.984509945,1.945739985,
2.166019917,2.086539984,2.091379881,
2.8125,1.470849991,1.463240027,
2.80663991,1.851390004,1.909800053,
2.794919968,1.857660055,1.836069942,
2.741209984,1.868780017,1.852270007,
2.704099894,1.99011004,1.989449978,
2.528320074,2.055670023,2.04508996,
2.410160065,1.897500038,1.904899955,
2.105469942,2.000479937,2.004839897,
2.643549919,1.788159966,1.767249942,
2.670900106,1.848960042,1.823150039,
2.794919968,1.252030015,1.298480034,
2.741209984,1.890499949,1.901149988,
2.704099894,2.016870022,2.053050041,
2.528320074,2.171339989,2.170249939,
2.410160065,1.868939996,1.869089961,
2.105469942,1.910830021,1.896890044,
2.670900106,1.976359963,1.90158999,
2.683589935,3.815239906,3.869699955,
2.645509958,1.907979965,1.886039972,
2.590820074,1.81577003,1.797180057,
2.460939884,1.790230036,1.800650001,
2.272459984,2.034759998,2.118690014,
2.166019917,1.908210039,1.890069962,
2.428709984,2.895260096,2.854170084,
2.449219942,2.45194006,2.577470064,
2.451169968,1.95025003,1.95096004,
2.491209984,1.710669994,1.672379971,
2.453119993,1.532179952,1.539219975,
2.276370049,3.11819005,3.159689903,
2.166019917,2.346210003,2.347929955,
2.428709984,1.999449968,2.024420023,
2.449219942,1.943639994,1.943840027,
2.451169968,1.571830034,1.565719962,
2.491209984,2.186039925,2.343430042,
2.453119993,1.480890036,1.474259973,
2.276370049,2.321769953,2.35416007,
2.166019917,1.544109941,1.574589968,
2.203119993,2.319220066,2.33265996,
2.276370049,2.680870056,2.855200052,
2.325200081,2.689749956,2.683300018,
2.370120049,2.048599958,2.040980101,
2.384769917,2.791870117,2.776590109,
2.271480083,2.122659922,2.106389999,
2.197269917,2.472120047,2.470499992,
2.138669968,8.158659935,8.158659935,
2.176759958,1.971600056,1.982439995,
2.228519917,1.851390004,1.883710027,
2.232419968,2.021480083,2.051259995,
2.184570074,2.045399904,2.01315999,
2.151370049,1.965019941,1.979670048,
2.081049919,2.014270067,2.094719887,
1.96875,1.958189964,1.969169974,
1.916990042,1.927659988,1.933019996,
1.683590055,1.96352005,1.978680015,
1.53125,1.997110009,2.017669916,
1.461910009,2.02086997,2.064539909,
1.729490042,3.475810051,3.459500074,
1.809569955,2.304579973,2.340430021,
1.894530058,1.770939946,1.73608005,
2.053709984,1.99308002,1.994879961,
1.941409945,1.869670033,1.85927999,
1.850589991,2.069329977,2.102730036,
1.802729964,1.920580029,1.936689973,
1.703119993,1.909229994,1.908550024,
1.652340055,2.210330009,2.23803997,
1.636719942,2.257509947,2.310359955,
1.638669968,1.998690009,2.020169973,
1.724609971,1.836570024,1.822059989,
1.87598002,1.985980034,1.983039975,
1.783200026,1.858960032,1.87153995,
1.706050038,1.942780018,1.925989985,
1.667969942,1.88203001,1.924980044,
1.599609971,2.027669907,2.02177,
1.546880007,1.794559956,1.763640046,
1.473629951,2.115869999,2.201250076,
1.470700026,2.115469933,2.11461997,
1.566409945,1.835530043,1.834959984,
1.87598002,1.835049987,1.870319963,
1.783200026,2.342180014,2.330120087,
1.706050038,2.152580023,2.108560085,
1.667969942,2.101609945,2.053299904,
1.599609971,1.81261003,1.805870056,
1.546880007,1.729830027,1.70799005,
1.473629951,2.023900032,2.015880108,
1.470700026,1.876360059,1.871770024,
1.566409945,1.704959989,1.688030005,
1.872069955,1.636029959,1.661329985,
1.713870049,1.713739991,1.709640026,
1.653319955,1.896569967,1.836549997,
1.653319955,1.827419996,1.841470003,
1.522459984,1.652649999,1.629289985,
1.475589991,1.784649968,1.810690045,
1.382809997,2.183549881,2.166870117,
1.389649987,2.178829908,2.176460028,
1.457030058,1.997370005,2.040240049,
1.932620049,1.661820054,1.671210051,
1.845700026,1.673529983,1.678679943,
1.759770036,1.658159971,1.644840002,
1.747069955,1.914369941,1.936390042,
1.663089991,1.857239962,1.855309963,
1.475589991,2.017980099,2.019239902,
1.382809997,2.075139999,2.060839891,
1.389649987,2.067790031,2.020400047,
1.457030058,1.939100027,1.941969991,
1.932620049,1.933910012,1.953089952,
1.845700026,1.844460011,1.838070035,
1.759770036,1.89549005,1.88812995,
1.747069955,2.331619978,2.146529913,
1.663089991,2.07336998,2.048690081,
1.607419968,2.144459963,2.133709908,
1.487300038,2.231719971,2.22826004,
1.447270036,1.841850042,1.836320043,
1.50098002,1.945189953,2.009860039,
1.955080032,1.782920003,1.811139941,
1.927729964,1.879169941,1.880769968,
1.890619993,1.587090015,1.557299972,
1.864259958,2.419759989,2.424230099,
1.785159945,2.112430096,2.115250111,
1.723629951,2.117310047,2.125869989,
1.576169968,2.148669958,2.151220083,
1.497069955,2.079979897,2.089979887,
1.514649987,2.017950058,2.008460045,
2.033200026,2.365200043,2.363790035,
1.927729964,1.790079951,1.799180031,
1.890619993,2.027549982,2.056989908,
1.864259958,2.032040119,2.014760017,
1.785159945,2.342459917,2.395289898,
1.723629951,1.888859987,1.865429997,
1.576169968,1.874480009,1.866230011,
1.497069955,2.105920076,2.065809965,
1.514649987,1.923699975,1.839789987,
1.926759958,1.697669983,1.680240035,
2.002929926,2.474950075,2.80050993,
2.072269917,1.865960002,1.872499943,
2.201169968,1.947049975,1.953670025,
2.30663991,1.916319966,1.910719991,
2.268549919,1.959920049,1.960540056,
2.089839935,1.821020007,1.775359988,
1.87401998,1.887359977,1.894279957,
1.644530058,1.792930007,1.813719988,
1.797850013,2.014230013,1.974889994,
1.958979964,1.961590052,1.915189981,
2.035160065,1.932229996,2.054069996,
2.153320074,1.910730004,1.910169959,
2.260740042,1.941290021,1.951069951,
2.2197299,1.09968996,1.09931004,
1.856449962,1.688429952,1.696339965,
1.822270036,1.832299948,1.846179962,
1.666020036,2.00654006,2.051340103,
1.848629951,1.842429996,1.883059978,
1.93651998,1.766080022,1.834830046,
2.153320074,1.984400034,1.967890024,
2.260740042,1.943959951,1.979719996,
2.2197299,1.840929985,1.845190048,
1.856449962,1.760400057,1.77275002,
1.822270036,1.804080009,1.845450044,
1.666020036,1.718690038,1.673799992,
1.848629951,1.934309959,1.925340056,
1.93651998,2.026420116,2.070800066,
2.034179926,1.952579975,1.96736002,
2.067379951,1.758229971,1.756620049,
2.058589935,1.856459975,1.852859974,
2.035160065,1.739560008,1.741459966,
2.059570074,1.804720044,1.802270055,
2.138669968,1.897600055,1.961689949,
1.56348002,1.765910029,1.779680014,
1.75098002,1.619310021,1.836009979,
1.876950026,1.57893002,1.537860036,
1.925780058,1.846779943,1.864359975,
1.99901998,1.830150008,1.832409978,
2.003910065,1.80885005,1.810459971,
2.195310116,1.667199969,1.637840033,
2.28711009,3.119040012,3.363290071,
2.229490042,1.760069966,1.78331995,
1.56348002,1.803220034,1.804389954,
1.75098002,1.878509998,1.878859997,
1.876950026,1.502079964,1.472390056,
1.925780058,1.929939985,1.960119963,
1.99901998,1.713250041,1.675519943,
2.003910065,1.833680034,1.849120021,
2.195310116,1.954699993,1.952290058,
2.28711009,2.374000072,2.380110025,
2.229490042,1.631999969,1.629259944,
1.575199962,1.811840057,1.745380044,
1.695309997,1.892390013,1.780439973,
1.765619993,2.132730007,2.200740099,
1.81348002,1.689589977,1.643339992,
1.945309997,1.806190014,1.801620007,
2.027339935,1.770760059,1.791280031,
2.211910009,2.074650049,2.107959986,
2.209959984,1.959759951,1.935629964,
2.1552701,1.506970048,1.454929948,
1.555660009,1.643419981,1.619310021,
1.582030058,1.850440025,1.842120051,
1.650390029,1.69927001,1.658450007,
1.693359971,2.178600073,2.184720039,
1.84276998,1.767580032,1.777250051,
1.930660009,1.911859989,1.909160018,
2.118160009,2.098180056,2.104110003,
2.123049974,1.955010056,1.953889966,
2.167969942,1.865810037,1.898830056,
1.555660009,1.996930003,1.883229971,
1.582030058,1.940299988,2.001399994,
1.650390029,1.694270015,1.748350024,
1.693359971,1.876710057,1.842239976,
1.84276998,1.921949983,1.883190036,
1.930660009,1.972270012,1.96875,
2.118160009,1.995530009,2.028719902,
2.123049974,1.955170035,1.988070011,
2.167969942,1.720700026,1.70510006,
1.708979964,2.0504601,1.990049958,
-9999,1.681689978,1.686319947,
1.708979964,1.367419958,1.507099986,
1.627930045,1.733160019,1.762009978,
2.03711009,1.558959961,1.535279989,
1.633790016,1.747969985,1.771479964,
1.627930045,1.619740009,1.627509952,
2.166990042,1.407860041,1.503250003,
1.822270036,1.710150003,1.747830033,
1.771479964,1.679640055,1.694149971,
2.166990042,1.771589994,1.773339987,
1.822270036,1.84107995,1.839020014,
1.771479964,1.636540055,1.637400031,
2.128910065,1.41663003,1.444350004,
2.051759958,1.770210028,1.769659996,
2.055660009,1.783370018,1.804520011,
1.985350013,2.311180115,2.359189987,
1.921880007,1.578439951,1.524479985,
1.650390029,1.612010002,1.621180058,
1.678709984,1.609449983,1.608170033,
2.208980083,1.75177002,1.752959967,
2.283200026,1.736359954,1.729290009,
2.299799919,1.718420029,1.716560006,
2.266599894,1.99842,2.019560099,
2.228519917,1.669870019,1.671759963,
1.939450026,2.096879959,2.228790045,
1.799800038,1.347939968,1.378299952,
2.208980083,1.848899961,1.889870048,
2.283200026,1.693500042,1.711310029,
2.299799919,2.215670109,2.226360083,
2.266599894,1.695819974,1.646309972,
2.228519917,1.891070008,1.893390059,
1.939450026,1.777320027,1.751449943,
1.799800038,1.532269955,1.558269978,
1.623049974,1.565600038,1.558730006,
2.128910065,9.47988987,9.674489975,
2.240230083,3.502470016,3.632980108,
2.223629951,1.367200017,1.353309989,
2.278320074,1.355870008,1.262650013,
2.521480083,1.332020044,1.311990023,
2.58788991,2.37409997,2.375309944,
2.554689884,2.228250027,2.238080025,
2.576169968,4.189809799,4.26402998,
2.605469942,1.716410041,1.701889992,
2.684570074,6.62969017,6.558859825,
2.473629951,7.911630154,7.871630192,
2.320310116,2.310810089,2.313070059,
-9999,2.799839973,2.795809984,
2.58788991,1.660750031,1.706619978,
2.554689884,2.168950081,2.197220087,
2.576169968,2.776299953,2.760730028,
2.605469942,1.712820053,1.706740022,
2.684570074,1.43611002,1.513190031,
2.473629951,2.25654006,2.272500038,
2.320310116,2.066979885,2.045259953,
2.089839935,1.913069963,1.915910006,
3.008790016,2.379129887,2.34717989,
2.835939884,2.561439991,2.500930071,
2.788089991,2.938829899,2.91869998,
2.769530058,1.587460041,1.530140042,
2.606450081,2.231169939,2.20795989,
2.454099894,1.958019972,1.947749972,
2.197269917,1.951210022,1.942700028,
0.893554986,2.232850075,2.182280064,
0.992187977,2.158629894,2.155719995,
1.051759958,2.177839994,2.168450117,
1.068359971,1.882689953,1.90497005,
1.201169968,2.285609961,2.269880056,
1.285159945,2.240720034,2.239120007,
-9999,2.659699917,2.663259983,
-9999,2.896179914,2.895730019,
1.068359971,2.709569931,2.695679903,
1.201169968,2.142440081,2.143199921,
1.285159945,2.000060081,2.011389971,
0.982421994,1.989869952,1.995669961,
0.961914003,2.780109882,2.778350115,
1.235350013,1.917510033,1.938989997,
1.453119993,2.271310091,2.286410093,
1.598629951,2.297499895,2.314419985,
1.184569955,3.195529938,2.797489882,
1.331050038,1.973970056,1.969339967,
1.411129951,1.619029999,1.504879951,
1.267580032,2.16546011,2.166160107,
1.085940003,2.219599962,2.234940052,
1.043949962,1.880630016,1.882969975,
1.190430045,2.057940006,2.031150103,
1.360350013,1.703439951,1.714409947,
1.65526998,2.180919886,2.190010071,
1.184569955,2.253989935,2.111299992,
1.331050038,1.972859979,1.965919971,
1.411129951,1.508990049,1.507380009,
1.267580032,1.942749977,1.953690052,
1.085940003,2.089349985,2.106309891,
1.043949962,1.939929962,1.981439948,
1.190430045,1.803670049,1.837700009,
1.360350013,2.094439983,1.981559992,
1.65526998,1.925340056,1.916980028,
1.912109971,2.30685997,2.311779976,
1.68848002,2.040440083,2.053280115,
1.660159945,1.762619972,1.823340058,
1.479490042,1.681519985,1.662050009,
1.205080032,1.936249971,1.939650059,
1.148440003,2.012079954,2.009249926,
1.241209984,1.932710052,1.905889988,
1.46875,1.993749976,1.97239995,
1.785159945,1.905619979,1.90715003,
2.081049919,2.27621007,2.244110107,
1.96875,2.043960094,2.034919977,
1.916990042,2.016580105,2.02670002,
1.683590055,1.976169944,1.972609997,
1.53125,1.942430019,1.955170035,
1.461910009,1.923699975,1.911530018,
1.729490042,1.964329958,1.954450011,
1.809569955,1.743479967,1.721300006,
1.894530058,1.790060043,1.782199979,
1.012699962,2.007460117,2.011329889,
0.993164003,1.975440025,1.974539995,
1.339840055,2.262209892,2.234009981,
1.367190003,2.226200104,2.272069931,
1.183590055,2.350749969,2.334609985,
1.339840055,2.041290045,2.033770084,
1.367190003,1.986070037,1.980939984,
1.183590055,1.625440001,1.627320051,
1.642580032,2.123480082,2.13093996,
1.439450026,1.775490046,1.775730014,
1.365229964,1.782789946,1.795109987,
1.197270036,2.367899895,2.365420103,
1.214840055,1.626219988,1.559780002,
1.154299974,1.652909994,1.655030012,
1.745120049,1.668079972,1.673810005,
1.623049974,1.980260015,1.977220058,
1.556640029,2.079879999,2.078900099,
1.432620049,1.861639977,1.862720013,
1.50098002,2.111860037,2.116980076,
1.489259958,2.067970037,2.068690062,
1.745120049,1.73202002,1.709789991,
1.623049974,1.831130028,1.836490035,
1.556640029,2.25116992,2.240550041,
1.432620049,1.977980018,1.998239994,
1.50098002,1.920750022,1.96724999,
1.489259958,1.91663003,1.918799996,
1.794919968,1.663599968,1.651530027,
1.752930045,1.939820051,1.947350025,
1.787109971,1.991840005,1.993209958,
1.864259958,2.142910004,2.160459995,
1.797850013,2.000449896,2.004040003,
1.668949962,2.054339886,2.048599958,
1.368160009,1.879580021,1.896800041,
1.285159945,1.63677001,1.640450001,
1.515619993,1.914299965,1.896589994,
1.926759958,1.780910015,1.750290036,
2.002929926,1.820189953,1.844390035,
2.072269917,1.594980001,1.599359989,
2.201169968,1.936859965,1.969709992,
2.30663991,1.785840034,1.790259957,
2.268549919,2.015969992,2.02015996,
2.089839935,1.878450036,1.836130023,
1.87401998,1.97547996,1.987689972,
1.644530058,2.080840111,2.060189962,
